NpcResId	NpcResFile	ResAttribID	Desc	RunSoundID	DeathSoundID	HitSoundID	Height	Width	at_frame	at_cross	bat_frame	bat_cross	die_frame	die_event	die_cross	dz_frame	dz_cross	jf_frame	jf_cross	jfd_frame	jfd_cross	jt_frame	jt_cross	wlk_frame	wlk_cross	wlk_event	run_frame	run_cross	run_event	st_frame	st_cross	st_event	st01_frame	st01_cross	st02_frame	st02_cross	sta_frame	sta_cross	qg_frame	qg_cross	at01_frame	at01_cross	at01_event	at02_frame	at02_cross	at03_frame	at03_cross	at04_frame	at04_cross	jn01_frame	jn01_cross	jn02_frame	jn02_cross	jn03_frame	jn03_cross	jn04_frame	jn04_cross	jn05_frame	jn05_cross	ex01_frame	ex01_cross	jn02a_frame	jn02a_cross	jn02b_frame	jn02b_cross	qg01_frame	qg01_cross	qg02_frame	qg02_cross	qg03_frame	qg03_cross	qg04_frame	qg04_cross	qg05_frame	qg05_cross	jn04(dl)_frame	jn04(dl)_cross	jsrun_frame	jsrun_cross	dl_frame	dl_cross	jf_gz_frame	jf_gz_cross	zx_frame	zx_cross	zst_frame	zst_cross	ts01_frame	ts01_cross	ts02_frame	ts02_cross	ts03_frame	ts03_cross
1	Player/Characters/Prefabs/m2_001.prefab		天王主角				2	0.5	45	0.1	10	0.1	19		0	30	0.1	35	0.09	22	0.09	5	0.1	15	0.1		18	0.1		30	0.1		53	0	30	0.1	30	0.1	20	0.05	15	0.1		14	0.08	13	0.1	14	0.05	17	0	20	0.1	5	0.2	20	0.15	60	0.15		0.15	15	0.08			18	0	6	0	13	0	18	0	18	0			24	0.4					15	0.05	30	0.1	15	0.05				
2	Player/Characters/Prefabs/f2_003.prefab		峨嵋主角				2	0.5	45	0.1	10	0.1	20		0	30	0.1	35	0.09	22	0.09	13	0.1	15	0.1		16	0.1		30	0.1		58	0	30	0.1	30	0.1	25	0.05	10	0.1		15	0.08	13	0.1	15	0.1	15	0.09	18	0.11	23	0.1	25	0.12	20	0.15		0.15	15	0.08			18	0	7	0	13	0	18	0	18	0			20	0.4					15	0.05	30	0.1	15	0.05				
3	Player/Characters/Prefabs/f1_001.prefab		桃花主角				1.6	0.5	45	0.1	11	0.1	15		0	30	0.1	35	0.09	22	0.09	13	0.1	15	0.1		15	0.1		30	0.1		59	0	30	0.1	30	0.1	25	0.05	15	0.08		15	0.08	16	0.065			18	0.09	21	0.1	20	0.2	20	0.15	37	0.15		0.15	15	0.08			17	0	7	0	13	0	18	0	17	0			20	0.4					15	0.05	30	0.1	15	0.05				
4	Player/Characters/Prefabs/m1_001.prefab		逍遙主角				2	0.5	38	0.1	10	0.1	19		0	30	0.1	35	0.09	22	0.09	13	0.1	15	0.1		16	0.1		30	0.1		58	0	30	0.1	30	0.1	25	0.06	13	0.1		13	0.08	15	0.08	15	0.1	23	0.05	6	0.05	13	0.05	28	0.15	30	0.15	5		5	0.08	5	0.01	20	0	5	0	13	0	18	0	20	0	28	0.15	23	0.4					15	0.05	30	0.1	15	0.05				
5	Player/Characters/Prefabs/m3_001.prefab		武當主角				2	0.5	38	0.1	10	0.1	20		0	30	0.1	35	0.09	22	0.09	13	0.1	15	0.1		16	0.1		30	0.1		58	0	30	0.1	30	0.1	25	0.06	13	0.1		13	0.08	13	0.08	13	0.01	18	0.05	21	0.05	20	0.05	28	0.15	48	0.15	5		5	0.08	5	0.01	19	0	6	0	13	0	18	0	20	0	28	0.15	20	0.4					15	0.05	30	0.1	15	0.05				
6	Player/Characters/Prefabs/f3_001.prefab		天忍主角				2	0.5	45	0.1	9	0.1	20		0	30	0.1	35	0.09	22	0.09	13	0.1	15	0.1		15	0.1		30	0.1		51	0	30	0.1	30	0.1	25	0.05	10	0.08		10	0.08	14	0.065	12	0.01	12	0.09	16	0.1	15	0.05	15	0.1	31	0.1		0.15	15	0.08			18	0	7	0	13	0	18	0	17	0			20	0.4					15	0.05	30	0.1	15	0.05				
8	Effect/Prefabs/JueSe/other1/shikongmen_G.prefab		傳送門				1.9	0.5	30	0.1		0.1	10		0			30	0.1	30	0.1		0.1	15	0.1		9	0.2		10	0.2		10	0.2	10	0.2	10	0.2		0.15	30	0.1			0.08		0.1		0.1		0.09		0.15		0.15		0.15		0.15		0.15		0.08																														
9	Player/Characters/Prefabs/m4_001.prefab		少林主角				2	0.5	38	0.1	10	0.1	19		0	30	0.1	35	0.09	22	0.09	13	0.1	15	0.1		16	0.1		30	0.1		47	0	30	0.1	30	0.1	25	0.06	13	0.1		15	0.08	13	0.08	12	0.1	13	0.05	10	0.05	15	0.05	16	0.15	44	0.15	5		5	0.08	5	0.01	20	0	5	0	13	0	18	0	20	0	28	0.15	23	0.4					15	0.05	30	0.1	15	0.05				
10	Player/Characters/Prefabs/f4_001.prefab		翠煙主角				2	0.5	38	0.1	6	0.1	20		0	30	0.1	35	0.09	20	0.09	13	0.1	15	0.1		16	0.1		30	0.1		50	0	30	0.1	30	0.1	25	0.06	15	0.1		10	0.08	12	0.08	14	0.1	13	0.05	20	0.05	14	0.05	13	0.15	30	0.15	5		5	0.08	5	0.01	18	0	7	0	13	0	18	0	20	0	28	0.15	23	0.4					15	0.05	30	0.1	15	0.05				
11	Player/Npcs/Prefabs/boss001.prefab		心魔				2	0.5	5	0.1	6	0.1	15		0			5	0.1	5	0.1		0.1	15	0.1		12	0.2		30	0.2		30	0.2	30	0.2	20	0.2	24	0.15	15	0.1		15	0.08		0.1		0.1		0.09		0.15		0.15		0.15		0.15		0.15		0.08																														
12	Player/Npcs/Prefabs/boss002.prefab		葉無心				2.1	0.5	5	0.1	6	0.1	26		0			15	0.1	15	0.1		0.1	15	0.1		10	0.2		30	0.2		30	0.2	30	0.2	20	0.2	52	0.15	17	0.1		16	0.08		0.1		0.1		0.09		0.15		0.15		0.15		0.15		0.15	16	0.08																														
13	Player/Npcs/Prefabs/boss003.prefab		天星道長				2.5	0.5	16	0.1	6	0.1	30		0			25	0.1	25	0.1		0.1	15	0.1		12	0.2		30	0.2		30	0.2	30	0.2	16	0.2		0.15	17	0.1		38	0.08		0.1		0.1	35	0.09		0.15		0.15		0.15		0.15		0.15	25	0.08																														
14	Player/Npcs/Prefabs/boss004.prefab		蕭動塵				2.5	0.5	20	0.1	6	0.1	18		0			20	0.1	20	0.1		0.1	15	0.1		12	0.2		30	0.1		30	0.1	30	0.1	20	0.1	27	0.15	18	0.1		18	0.08		0.1		0.1	30	0.09		0.15		0.15		0.15		0.15		0.15	18	0.08																														
15	Player/Npcs/Prefabs/boss005.prefab		哲別				2.5	0.5	20	0.1	6	0.1	20		0			20	0.1	20	0.1		0.1	15	0.1		12	0.2		30	0.1		30	0.1	30	0.1	20	0.1		0.15	18	0.1		17	0.08		0.1		0.1	30	0.09		0.15		0.15		0.15		0.15		0.15	18	0.08																														
16	Player/Npcs/Prefabs/npc_163.prefab	61	玄天道人				2.5	0.5	20	0.1	6	0.1	20		0			17	0.1	17	0.1		0.1	15	0.1		12	0.2		30	0.1		30	0.1	30	0.1	20	0.1		0.15	15	0.1		15	0.08		0.1		0.1	30	0.09		0.15		0.15		0.15		0.15		0.15	18	0.08																														
17	Player/Npcs/Prefabs/boss007.prefab		黑面郎君				2.5	0.5	20	0.1	6	0.1	20		0			18	0.1	18	0.1		0.1	15	0.1		12	0.2		30	0.1		30	0.1	30	0.1	20	0.1	20	0.15	13	0.1		19	0.08		0.1		0.1	30	0.09		0.15		0.15		0.15		0.15		0.15	18	0.08																														
19	Player/Npcs/Prefabs/boss009.prefab		袁承志				2.5	0.5	20	0.1	6	0.1	20		0			18	0.1	18	0.1		0.1	15	0.1		12	0.2		30	0.1		30	0.1	30	0.1	20	0.1		0.15	15	0.1		18	0.08		0.1		0.1	30	0.09		0.15		0.15		0.15		0.15		0.15	18	0.08																														
20	Player/Npcs/Prefabs/boss010.prefab		玄天武機				3	0.5	20	0.1	6	0.1	20		0			19	0.1	19	0.1		0.1	15	0.1		12	0.2		30	0.1		30	0.1	30	0.1	20	0.1		0.15	15	0.1		17	0.08		0.1		0.1	30	0.09		0.15		0.15		0.15		0.15		0.15	18	0.08																														
21	Player/Npcs/Prefabs/boss011.prefab		上官飛龍				2.5	0.5	20	0.1	6	0.1	20		0			20	0.1	20	0.1		0.1	15	0.1		12	0.2		30	0.1		30	0.1	30	0.1	20	0.1	22	0.15	15	0.1		18	0.08		0.1		0.1	30	0.09		0.15		0.15		0.15		0.15		0.15	18	0.08																														
22	Player/Npcs/Prefabs/boss012.prefab		胡神醫				2.5	0.5	20	0.1	6	0.1	18		0			18	0.1	18	0.1		0.1	15	0.1		12	0.2		30	0.1		30	0.1	30	0.1	20	0.1		0.15	15	0.1		15	0.08		0.1		0.1	30	0.09		0.15		0.15		0.15		0.15		0.15	18	0.08																														
23	Player/Npcs/Prefabs/boss013.prefab		唐瀟				2.5	0.5	20	0.1	6	0.1	18		0			16	0.1	16	0.1		0.1	15	0.1		12	0.2		30	0.1		30	0.1	30	0.1	20	0.1		0.15	15	0.1		15	0.08		0.1		0.1	30	0.09		0.15		0.15		0.15		0.15		0.15	18	0.08																														
