ResId	ResFile	ResAttribID	Desc
1	Player/Characters/Prefabs/m2_007.prefab		天王T1
2	Player/Characters/Prefabs/m2_002.prefab		天王T2
3	Player/Characters/Prefabs/m2_003.prefab		天王T3
4	Player/Characters/Prefabs/m2_004.prefab		天王T4
5	Player/Characters/Prefabs/m2_005.prefab		天王T5
6	Player/Characters/Prefabs/m2_006.prefab		天王T6
7	Player/Characters/Prefabs/m2_008.prefab		天王T7
8	Player/Characters/Prefabs/m2_009.prefab	121	天王T8
9	Player/Characters/Prefabs/m2_010.prefab	221	天王T9
10	Player/Characters/Prefabs/m2_011.prefab		天王T10
11	Player/Characters/Prefabs/f2_002.prefab		峨眉T1
12	Player/Characters/Prefabs/f2_003.prefab		峨眉T2
13	Player/Characters/Prefabs/f2_006.prefab		峨眉T3
14	Player/Characters/Prefabs/f2_004.prefab		峨眉T4
15	Player/Characters/Prefabs/f2_005.prefab		峨眉T5
16	Player/Characters/Prefabs/f2_007.prefab		峨眉T6
17	Player/Characters/Prefabs/f2_008.prefab		峨眉T7
18	Player/Characters/Prefabs/f2_009.prefab	122	峨眉T8
19	Player/Characters/Prefabs/f2_010.prefab	222	峨眉T9
20	Player/Characters/Prefabs/f2_011.prefab		峨眉T10
21	Player/Characters/Prefabs/f1_004.prefab		桃花T1
22	Player/Characters/Prefabs/f1_002.prefab		桃花T2
23	Player/Characters/Prefabs/f1_003.prefab		桃花T3
24	Player/Characters/Prefabs/f1_005.prefab		桃花T4
25	Player/Characters/Prefabs/f1_006.prefab		桃花T5
26	Player/Characters/Prefabs/f1_007.prefab		桃花T6
27	Player/Characters/Prefabs/f1_008.prefab		桃花T7
28	Player/Characters/Prefabs/f1_009.prefab	123	桃花T8
29	Player/Characters/Prefabs/f1_010.prefab	223	桃花T9
30	Player/Characters/Prefabs/f1_011.prefab		桃花T10
31	Player/Characters/Prefabs/m1_003.prefab		逍遙T1
32	Player/Characters/Prefabs/m1_002.prefab		逍遙T2
33	Player/Characters/Prefabs/m1_005.prefab		逍遙T3
34	Player/Characters/Prefabs/m1_004.prefab		逍遙T4
35	Player/Characters/Prefabs/m1_008.prefab		逍遙T5
36	Player/Characters/Prefabs/m1_007.prefab		逍遙T6
37	Player/Characters/Prefabs/m1_006.prefab		逍遙T7
38	Player/Characters/Prefabs/m1_009.prefab	124	逍遙T8
39	Player/Characters/Prefabs/m1_010.prefab	224	逍遙T9
40	Player/Characters/Prefabs/m1_011.prefab		逍遙T10
41	Player/Characters/Prefabs/m3_002.prefab		武當T1
42	Player/Characters/Prefabs/m3_004.prefab		武當T2
43	Player/Characters/Prefabs/m3_005.prefab		武當T3
44	Player/Characters/Prefabs/m3_003.prefab		武當T4
45	Player/Characters/Prefabs/m3_007.prefab		武當T5
46	Player/Characters/Prefabs/m3_006.prefab		武當T6
47	Player/Characters/Prefabs/m3_008.prefab	67	武當T7
48	Player/Characters/Prefabs/m3_009.prefab	125	武當T8
49	Player/Characters/Prefabs/m3_010.prefab	225	武當T9
50	Player/Characters/Prefabs/m3_011.prefab	241	武當T10
51	Player/Characters/Prefabs/f3_003.prefab		天忍T1
52	Player/Characters/Prefabs/f3_002.prefab		天忍T2
53	Player/Characters/Prefabs/f3_004.prefab		天忍T3
54	Player/Characters/Prefabs/f3_006.prefab		天忍T4
55	Player/Characters/Prefabs/f3_005.prefab		天忍T5
56	Player/Characters/Prefabs/f3_007.prefab		天忍T6
57	Player/Characters/Prefabs/f3_008.prefab		天忍T7
58	Player/Characters/Prefabs/f3_009.prefab	126	天忍T8
59	Player/Characters/Prefabs/f3_010.prefab	226	天忍T9
