szType	nSaveIdx	nAttribId	nPartner1	nPartner2	nPartner3	nPartner4	nPartner5
月影傳說	1	101	13	21	49	64	68
劍俠情緣	2	102	11	22	63		
愛恨情仇	3	103	12	38	135	131	
情仇糾葛	4	104	45	47	62	69	
抗金名將	5	105	39	132	133	71	
恩怨未了	6	106	13	21	40	41	
藏劍山莊	7	107	42	43	64	67	
無憂一脈	8	108	14	21	44	49	
一流劍客	9	109	45	47	48		
五色陰謀	10	110	46	48	70	72	
忘憂島	11	111	49	126	78	81	
天忍密謀	12	112	65	73			
江湖人士	13	113	84	85	86	87	88
無憂教	14	114	79	80	82	83	
野外首領	15	115	58	59	60	61	
歷代名將	17	117	30	31	32	33	
名門·唯我獨尊	20	120	22	50			
名門·不讓鬚眉	21	121	24	25	52	53	
名門·逍遙天涯	22	122	23	51			
