Id	Info	Name	StoneIcon	StoneValue	Value	Type	QualityLevel	QualityType	GrowthType	GradeType	EquipType	NpcTemplateId	Skill1	Skill2	Skill3	Skill4	Skill5	Skill6	Skill7	Skill8	Skill9	Skill10
1	SSS級同伴	蚩尤	1	50	16000000	8	1	1	201	25	25	279		1270	1278							
2	SSS級同伴	後羿	1	50	16000000	8	1	1	201	25	25	280		1270	1278							
3	SSS級同伴	蘇妲己	1	50	16000000	8	1	1	201	25	25	281		1270	1278							
4	SSS級同伴	鬼穀子	1	50	16000000	8	1	1	201	25	25	282		1270	1278							
5	SSS級同伴	項羽	1	50	16000000	8	1	1	201	25	25	283		1270	1278							
6	SSS級同伴	秦始皇	1	50	16000000	8	1	1	201	25	25	284		1270	1278							
7	SSS級同伴	武則天	1	50	16000000	8	1	1	201	25	25	285		1270	1278							
8	SSS級同伴	呂洞賓	1	50	16000000	8	1	1	201	25	25	286		1270	1278							
9	SSS級同伴	張三豐	1	50	16000000	8	1	1	201	25	25	287		1270	1278							
10	SSS級同伴	西施	1	50	16000000	8	1	1	201	25	25	288		1270	1278							
11	SS級同伴	獨孤劍	1	50	6000000	2	2	1	201	25	25	289		2671	2672	2674	2623					
12	SS級同伴	南宮飛雲	1	50	6000000	2	2	10	210	34	34	290		2850	2851	2674	2623					
13	SS級同伴	楊影楓	1	50	6000000	2	2	9	209	33	33	291		2870	2871	2674	2623					
14	SS級同伴	玄天道人	1	50	6000000	2	2	5	205	29	29	292		2853	2854	2674	2623					
15	SS級同伴	虞姬	1	50	6000000	2	2	2	202	26	26	293		2856	2857	2674	2623					
16	SS級同伴	趙飛燕	1	50	6000000	8	2	8	208	32	32	294		1270	1278							
17	SS級同伴，歷代名將	荊軻	1	50	6000000	8	2	6	206	30	30	295		1270	1278							
18	SS級同伴，歷代名將	李廣	1	50	6000000	8	2	4	204	28	28	296		1270	1278							
19	SS級同伴，歷代名將	趙雲	1	50	6000000	8	2	3	203	27	27	297		1270	1278							
20	SS級同伴，歷代名將	李元霸	1	50	6000000	8	2	7	207	31	31	298		1270	1278							
21	S級同伴	月眉兒	1	50	2000000	1	3	8	308	20	20	299		2641	2642	2620	2622					
22	S級同伴，天王掌門	楊瑛	1	50	2000000	1	3	1	301	13	13	300		2649	2681	2618	2622					
23	S級同伴，逍遙掌門	祝子虛	1	50	2000000	1	3	3	303	15	15	301		1234	1238	2619	2624					
24	S級同伴，峨嵋掌門	清和	1	50	2000000	1	3	2	302	14	14	302		1140	1144	2620	2622					
25	S級同伴，桃花掌門	黃暮雲	1	50	2000000	1	3	4	304	16	16	303		1191	1195	2614	2621					
26	S級同伴，武當掌門	道一真人	1	50	2000000	1	3	5	305	17	17	304		2859	2860	2617	2623					
27	S級同伴，天忍掌門	端木睿	1	50	2000000	8	3	6	306	18	18	305		2842	2670	2613	2624					
28	S級同伴，少林掌門	玄因	1	50	2000000	8	3	7	307	19	19	306		1181	1188							
29	S級同伴，翠煙掌門	尹含煙	1	50	2000000	8	3	8	308	20	20	307		1181	1188							
127	S級同伴，丐幫掌門	何人我	1	50	2000000	8	3	9	309	21	21	1051		1181	1188							
128	S級同伴，昆侖掌門	璿璣子	1	50	2000000	8	3	10	310	22	22	1052		1181	1188							
129	S級同伴，五毒掌門	黑面郎君	1	50	2000000	8	3	11	311	23	23	1053		1181	1188							
130	S級同伴，唐門掌門	唐仇	1	50	2000000	8	3	12	312	24	24	1054		1181	1188							
30	S級同伴，歷代名將	高長恭	1	50	2000000	1	3	1	301	13	13	308		2645	2646	2616	2623					
31	S級同伴，歷代名將	哲別	1	50	2000000	1	3	12	312	24	24	309		2513	2521	2614	2621					
32	S級同伴，歷代名將	袁承志	1	50	2000000	1	3	10	310	22	22	310		2518	2519	2614	2523					
33	S級同伴，歷代名將	鼇拜	1	50	2000000	1	3	9	309	21	21	311		2637	2638	2616	2623					
34	S級同伴，野外首領	金翅鵬皇	1	50	2000000	8	3	8	308	20	20	312		1270	1278							
35	S級同伴，野外首領	赤睛虎皇	1	50	2000000	8	3	11	311	23	23	313		1270	1278							
36	S級同伴，野外首領	撼天熊皇	1	50	2000000	8	3	2	302	14	14	314		1270	1278							
37	S級同伴，野外首領	定海金剛	1	50	2000000	8	3	5	305	17	17	315		1270	1278							
38	S級同伴，60組隊秘境	唐影	1	50	2000000	1	3	12	312	24	24	316		2524	2525	2614	2621					
39	S級同伴，80組隊秘境	岳飛	1	50	2000000	1	3	3	303	15	15	317		2838	2839	2618	2621					
40	S級同伴	楊熙烈	1	50	2000000	1	3	5	305	17	17	318		2687	2841	2614	2624					
41	S級同伴	上官飛龍	1	50	2000000	1	3	4	304	16	16	319		2866	2867	2616	2623					
42	S級同伴	葉無心	1	50	2000000	1	3	10	310	22	22	320		1283	1284	2615	2621					
43	S級同伴	孟知秋	1	50	2000000	1	3	11	311	23	23	321		2873	2644	2619	2622					
44	S級同伴	納蘭潛凜	1	50	2000000	1	3	3	303	15	15	322		2574	2684	2615	2624					
45	S級同伴	張風	1	50	2000000	1	3	4	304	16	16	323		2874	2878	2613	2624					
46	S級同伴	無虛大師	1	50	2000000	1	3	7	307	19	19	324		2875	2879	2613	2624					
47	S級同伴	南宮滅	1	50	2000000	1	3	6	306	18	18	325		2843	2844	2614	2622					
