QualityType	Info	QualityLevel	Strength	Energy	Dexterity	Vitality	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3
1	偏防（天王）	1	60	60	90	90	lifemax_v	1500																																						
2	偏血（峨嵋）	1	60	60	90	90	lifemax_v	1500																																						
3	偏控（逍遙）	1	90	90	60	60	lifemax_v	1500																																						
4	偏攻（桃花）	1	90	90	60	60	lifemax_v	1500																																						
5	AOE（武當）	1	90	60	90	60	lifemax_v	1500																																						
6	純控（天忍）	1	90	90	60	60	lifemax_v	1500																																						
7	純血（少林）	1	60	90	60	90	lifemax_v	1500																																						
8	輔助（翠煙）	1	60	90	60	90	lifemax_v	1500																																						
9	偏閃（丐幫）	1	60	60	90	90	lifemax_v	1500																																						
10	純攻（昆侖）	1	90	60	90	60	lifemax_v	1500																																						
11	生存（華山）	1	60	60	90	90	lifemax_v	1500																																						
12	純暴（唐門）	1	90	90	60	60	lifemax_v	1500																																						
1	偏防（天王）	2	40	40	60	60	lifemax_v	1200																																						
2	偏血（峨嵋）	2	40	40	60	60	lifemax_v	1200																																						
3	偏控（逍遙）	2	60	60	40	40	lifemax_v	1200																																						
4	偏攻（桃花）	2	60	60	40	40	lifemax_v	1200																																						
5	AOE（武當）	2	60	40	60	40	lifemax_v	1200																																						
6	純控（天忍）	2	60	60	40	40	lifemax_v	1200																																						
7	純血（少林）	2	40	60	40	60	lifemax_v	1200																																						
8	輔助（翠煙）	2	40	60	40	60	lifemax_v	1200																																						
9	偏閃（丐幫）	2	40	40	60	60	lifemax_v	1200																																						
