nPartnerId	Name	szStory
6	秦始皇	秦始皇（前259年—前210年），嬴姓，趙氏，名政。秦莊襄王之子。出生于趙國都城邯鄲，十三歲繼承王位，三十九歲稱皇帝，在位三十七年。中國歷史上著名的政治家、戰略家、改革家，首位完成華夏大一統的鐵腕政治人物。建立首個多民族的中央集權國家，曾採用三皇之“皇”、五帝之“帝”構成“皇帝”的稱號，是古今中外第一個稱皇帝的封建王朝君主。秦始皇在中央創建皇帝制度，實行三公九卿，管理國家大事。地方上廢除分封制，代以郡縣制，同時書同文，車同軌，統一度量衡。對外北擊匈奴，南征百越，修築萬里長城，修築靈渠，溝通水系。
13	楊影楓	悲魔山莊莊主，江湖人稱“悲魔劍聖”，“北上官，南熙烈”中楊熙烈之子，天資卓越。緊記父親遺命，立志成為武功天下第一的人，踏入江湖後體會到武林中的波譎雲詭，不得不開始重新審視這個理想。被卓非凡謀害，從劍氣峰打下山崖，命在旦夕時被忘憂島的納蘭真救起，並在其幫助下因緣際會得到無憂教前代教主玄天道人遺書真傳，也因此肩負了為師報仇、平息武林紛爭的重擔。
56	楊熙烈	楊影楓之父，江湖人稱「北上官，南熙烈」的武林兩大使劍高手之一，為人豪爽，重情義，但有時興之所至，不顧他人感受，性格如同其劍招，咄咄逼人，不留餘地。後在凌絕峰與上官飛龍比武，勝負難分，力竭殞命。
79	卓非凡	藏劍山莊莊主，武林中新一輩青年俊傑，英俊瀟灑，文武雙全，也是江湖上人人敬仰的一位大俠。但是他在那英俊和藹的外表背後，似乎深深隱藏著不為眾人所知的東西。為了得到《武道德經》，不惜派遣侍妾紫軒勾引楊影楓，陰謀敗露後更是將楊影楓打下劍氣峰。但他沒想到的是紫軒愛上了楊影楓，萬萬沒想到的是楊影楓墜落劍氣峰不但未死還武功大進，最終在與楊比武時含恨殞命。
57	上官飛龍	月眉兒之父，飛龍堡前堡主，江湖人稱「北上官，南熙烈」的武林兩大使劍高手之一，為人成熟穩重，不喜爭鬥，劍法也是走的沉穩一路，招式環環相扣，使敵人不知不覺陷入絕地。在凌絕峰被迫接受楊熙烈的挑戰，兩人全力相鬥，雙雙殞命。
23	月眉兒	飛龍堡少堡主，納蘭真的孿生姐姐，個性倔強。幼年時目睹父親被迫與楊熙烈比武身亡，母親自盡，不得不在小小的年齡即獨自撐起飛龍堡。這對其衝擊巨大，竟將仇恨轉到楊影楓身上，一心殺死楊影楓為父母報仇，卻在不知情的情況下被楊影楓出手相救兩次，心裡對楊影楓愛恨交加，無所適從。
59	納蘭真	無憂教教主納蘭潛凜之女，月眉兒的孿生妹妹，從小居於忘憂島。本是天真爛漫的少女，無憂無慮，卻因楊影楓的出現而捲入了風波。
77	紫軒	身世迷離，傳言其幼時被拐賣，後遇到卓非凡被其贖下，成為其妾。儀態動人，面容清秀，性格柔順，對卓非凡有傾慕之意，但更多的是報恩之心，所以對他說的話言聽計從，寧願自己死也不願他受到傷害。卓非凡指使其引誘楊影楓以套出《武道德經》所在，卻不曾想陷入了愛情的漩渦，對其一片癡心，欲罷不能。楊影楓被卓非凡打下劍氣峰後，認為是自己害死了他而深深自責，痛苦萬分。
78	薔薇	武林盟主孟知秋的掌上明珠，性情刁蠻。在遇到楊影楓後，被其打動和拯救，深深的愛上了他。
58	納蘭潛凜	無憂教當代教主，納蘭真及月眉兒的父親，是個徹頭徹尾的野心家，為了自己的目的而不擇手段，罔顧親情愛情，弑師害兄，最終獨霸無憂教，其境界高深武功更是出神入化，一直覬覦《武道德經》。
