nType	nEventId	szInfo	Desc
1	1	你沒事吧？小心一些！	ID=1表示生命值低於50%時的喊話
1	1	這些敵人倒是有些本事……	
1	2	小心！我來幫你！	ID=2表示生命值低於20%時的喊話
1	2	快退後！交給我來處理！	
1	100	這裡似乎隱隱透出一股危險的味道……	ID=100表示每30秒的隨機喊話
1	100	這裡好像危機四伏，你要小心點！	小殷方
2	1	給我住手！不准再傷害他了！你的對手是我！	小殷方
2	2	你快走！接下來的就交給我殷方好了！	小殷方
2	100	我是不是很厲害？哎，沒辦法，天資高就是不一樣！我才學劍一年哦！	小殷方
2	100	嘖嘖，是不是很想學我的劍法呀？嗯，帶上燒酒烤雞，今晚午夜後山！	小殷方
2	100	衝啊！消滅這些邪魔外道！記住我，我叫殷方！	小殷方
3	1	你怎麼樣？若是身體不適，不妨先休息一…莫要生氣，我只是擔心你…	納蘭真
3	1	你……為何要這般逞強？明明已有傷在身……	納蘭真
3	2	不要！好多血……這可如何是好……我這便為你治療！	納蘭真
3	100	你瞧這附近的光景，倒也不錯，只可惜我們並非來閒遊的……	納蘭真
3	100	若是我的醫術能再高明一些便好了，這樣你就可以更盡情施展……	納蘭真
3	100	你要加油哦！若是你的話，將來必定能夠成為武林中的大俠！	納蘭真
4	1	你、你沒事吧？哼！小小傷口，就當做成為強者路上的歷練吧！	少年楊影楓
4	2	你的傷很嚴重，此處交由我來，你先打坐養傷！	少年楊影楓
4	100	我定要繼承爹爹的志向，成為武功天下第一的人！	少年楊影楓
4	100	上官飛龍…可以與我爹爹匹敵的人，不知未來我的對手是誰！	少年楊影楓
4	100	唉，這一式「烈火情天」我已練了許久，卻總是氣勢不足。	少年楊影楓
5	1	你沒受傷吧？若是堅持不住，就叫給我好了！	月眉兒
5	1	怎麼樣？來，再堅持堅持就好了！	月眉兒
5	2	你受的傷很重，快退下，這裡交給我！	月眉兒
5	2	你受的傷不輕，若是堅持不住，便休息片刻！	月眉兒
5	100	哼，我飛龍堡縱橫天下數十載，什麼危險的地方沒去過？	月眉兒
5	100	殺父之仇，豈可不報？然而心中之情……又如何放得下……	月眉兒
