Id	Info	Name	szGrowthType	Value	ShowTimeFrame	Series	AiType	GrowthType	QualityLevel	NpcTemplateId	BYNpcTemplateId	BaseSkillId	Skill1	Skill2	Skill3	ExtSkill1	ExtSkill2	ExtSkill3	ExtSkill4	ExtSkill5	Hide
1	SSS級同伴	蚩尤	近戰	18000000			1	1	1	279		1270	2930	2613	1278						1
2	SSS級同伴	後羿	遠程	18000000			1	1	1	280		1270	2930	2614	1278						1
3	SSS級同伴	蘇妲己	遠程	18000000			1	1	1	281		1270	2930	2615	1278						1
4	SSS級同伴	鬼穀子	遠程	18000000			1	1	1	282	2178	1270	2930	2616	953						1
5	SSS級同伴	項羽	近戰、控制	18000000	OpenDay353	4	10	12	1	283	2179	3901	2939	3269	3902						
6	SSS級同伴	秦始皇	遠程、輸出	18000000	OpenDay204	5	12	5	1	284	2180	3223	2941	3270	3225						
144	SSS級同伴	完顏洪烈	遠程、輸出	18000000	OpenDay279	2	6	11	1	2231	2232	3281	2935	3267	3283						
7	SSS級同伴	武則天	遠端、輔助	18000000	OpenLevel129	3	3	8	1	285	2181	3920	2932	3268	3921						
8	SSS級同伴	呂洞賓	近戰	18000000			1	1	1	286		1270	2930	2620	1278						1
9	SSS級同伴	張三豐	遠程	18000000			1	1	1	287	2183	1270	2930	2621	953						1
10	SSS級同伴	西施	遠程	18000000			1	1	1	288		1270	2930	2622	1278						1
11	SS級同伴	獨孤劍	近戰、輸出	6000000		1	12	5	2	289	1736	2671	2941	2613	2672						
12	SS級同伴	南宮飛雲	遠程、控制	6000000		3	7	8	2	290	1737	2850	2936	2620	2851						
13	SS級同伴	楊影楓	近戰、高閃	6000000		4	3	12	2	291	1738	2870	2932	2624	2871						
14	SS級同伴	唐簡	遠程、輸出	6000000	OpenLevel109	2	7	9	2	292	2225	3276	2936	2623	3278						
15	SS級同伴	玄天道人	遠程	6000000		5	1	10	2	293	1739	2853	2930	2622	2854						1
16	SS級同伴	SS6	近戰	6000000		2	1	11	2	294		2870	2930	2621	2871						1
