nSkillBookId	Name	nType	nLevel	nQuality	nSeries	nSkillId	nLevelupId	nLevelValue1	nLevelValue2	nLevelValue3	nLevelValue4	nLevelValue5	nLevelValue6	nLevelValue7	nLevelValue8	nLevelValue9	nLevelValue10
1	無名斬	1	1	2	1	901	1	150000									
2	寒霜印	2	1	2	3	902	1	150000									
3	劇毒鏢	3	1	2	2	903	1	150000									
4	霹靂印	4	1	2	4	904	1	150000									
5	雷霆印	5	1	2	5	905	1	150000									
6	破天斬	6	1	3	1	906	1	500000									
7	冰封指	7	1	3	3	907	1	500000									
8	袖裡箭	8	1	3	2	908	1	500000									
9	烈焰指	9	1	3	4	909	1	500000									
10	怒雷指	10	1	3	5	910	1	500000									
11	半月斬	11	1	4	1	911	1	1500000									
12	驚濤駭浪	12	1	4	3	912	1	1500000									
13	穿心刺	13	1	4	2	914	1	1500000									
14	推山填海	14	1	4	4	916	1	1500000									
15	九天狂雷	15	1	4	5	917	1	1500000									
16	治癒術	16	1	2		921	1	150000									
17	群體治癒術	17	1	3		923	1	500000									
18	百草仙露	18	1	5		925	1	5000000									
19	毒瘴術	19	1	3		927	1	500000									
20	群體毒瘴	20	1	4		928	1	1500000									
21	金剛護體	21	1	3		930	1	500000									
22	群體金剛	22	1	4		931	1	1500000									
23	不動明王	23	1	3		933	1	500000									
24	群體明王	24	1	4		934	1	1500000									
25	枯木逢春	25	1	3		936	1	500000									
26	涅槃重生	26	1	4		938	1	1500000									
27	蓄力箭	27	1	3		940	1	500000									
28	【初級】命中	1000	1	1		1901	1	50000									
29	【中級】命中	1000	2	2		1902	1	150000									
30	【高級】命中	1000	3	3		1903	1	500000									
31	【初級】閃避	1001	1	1		1904	1	50000									
32	【中級】閃避	1001	2	2		1905	1	150000									
33	【高級】閃避	1001	3	3		1906	1	500000									
34	【初級】忽略閃避	1002	1	1		1907	1	50000									
35	【中級】忽略閃避	1002	2	2		1908	1	150000									
36	【高級】忽略閃避	1002	3	3		1909	1	500000									
37	【初級】抗會心機率	1003	1	1		1910	1	50000									
38	【中級】抗會心機率	1003	2	2		1911	1	150000									
39	【高級】抗會心機率	1003	3	3		1912	1	500000									
40	【初級】生命恢復	1004	1	1		1913	1	50000									
41	【中級】生命恢復	1004	2	2		1914	1	150000									
42	【高級】生命恢復	1004	3	3		1915	1	500000									
58	【初級】會心機率	1010	1	2		1931	1	150000									
59	【中級】會心機率	1010	2	3		1932	1	500000									
60	【高級】會心機率	1010	3	4		1933	1	1500000									
61	【初級】攻擊力	1011	1	2		1934	1	150000									
62	【中級】攻擊力	1011	2	3		1935	1	500000									
63	【高級】攻擊力	1011	3	4		1936	1	1500000									
64	【初級】生命	1012	1	2		1937	1	150000									
65	【中級】生命	1012	2	3		1938	1	500000									
66	【高級】生命	1012	3	4		1939	1	1500000									
70	【初級】金系抗性	1014	1	2		1943	1	150000									
71	【中級】金系抗性	1014	2	3		1944	1	500000									
72	【高級】金系抗性	1014	3	4		1945	1	1500000									
73	【初級】木系抗性	1015	1	2		1946	1	150000									
74	【中級】木系抗性	1015	2	3		1947	1	500000									
75	【高級】木系抗性	1015	3	4		1948	1	1500000									
76	【初級】水系抗性	1016	1	2		1949	1	150000									
77	【中級】水系抗性	1016	2	3		1950	1	500000									
78	【高級】水系抗性	1016	3	4		1951	1	1500000									
79	【初級】火系抗性	1017	1	2		1952	1	150000									
80	【中級】火系抗性	1017	2	3		1953	1	500000									
81	【高級】火系抗性	1017	3	4		1954	1	1500000									
82	【初級】土系抗性	1018	1	2		1955	1	150000									
83	【中級】土系抗性	1018	2	3		1956	1	500000									
84	【高級】土系抗性	1018	3	4		1957	1	1500000									
85	【初級】抗屬性效果	1019	1	2		1958	1	150000									
86	【中級】抗屬性效果	1019	2	3		1959	1	500000									
87	【高級】抗屬性效果	1019	3	4		1960	1	1500000									
88	【初級】吸取生命	1020	1	3		1961	1	500000									
89	【中級】吸取生命	1020	2	4		1962	1	1500000									
90	【高級】吸取生命	1020	3	5		1963	1	5000000									
91	【初級】受傷效果	1021	1	3	1	1964	1	500000									
92	【中級】受傷效果	1021	2	4	1	1965	1	1500000									
93	【高級】受傷效果	1021	3	5	1	1966	1	5000000									
94	【初級】遲緩效果	1022	1	3	3	1967	1	500000									
95	【中級】遲緩效果	1022	2	4	3	1968	1	1500000									
96	【高級】遲緩效果	1022	3	5	3	1969	1	5000000									
97	【初級】致纏效果	1023	1	3	2	1970	1	500000									
98	【中級】致纏效果	1023	2	4	2	1971	1	1500000									
99	【高級】致纏效果	1023	3	5	2	1972	1	5000000									
100	【初級】麻痹效果	1024	1	3	4	1973	1	500000									
101	【中級】麻痹效果	1024	2	4	4	1974	1	1500000									
102	【高級】麻痹效果	1024	3	5	4	1975	1	5000000									
103	【初級】眩暈效果	1025	1	3	5	1976	1	500000									
104	【中級】眩暈效果	1025	2	4	5	1977	1	1500000									
105	【高級】眩暈效果	1025	3	5	5	1978	1	5000000									
106	【初級】全系抗性	1026	1	3		1979	1	500000									
107	【中級】全系抗性	1026	2	4		1980	1	1500000									
108	【高級】全系抗性	1026	3	5		1981	1	5000000									
109	【初級】忽略全系抗性	1027	1	3		1982	1	500000									
110	【中級】忽略全系抗性	1027	2	4		1983	1	1500000									
