nPartnerId	Desc1	nItemId	Desc2	nValue	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3
1	蚩尤	3539	蚩尤	10000000	basic_damage_v	500		500																																				
2	後羿	3540	後羿	10000000	basic_damage_v	500		500																																				
3	蘇妲己	3541	蘇妲己	10000000	basic_damage_v	500		500																																				
4	鬼穀子	3542	鬼穀子	10000000	basic_damage_v	500		500																																				
5	項羽	3543	項羽·霸王戟	10000000	basic_damage_v	500		500																																				
6	秦始皇	3544	秦始皇·泰阿劍	10000000	basic_damage_v	500		500																																				
144	完顏洪烈	4057	完顏洪烈·金龍禦鷹手	10000000	basic_damage_v	500		500																																				
7	武則天	3545	武則天·明空棲鳳指	10000000	basic_damage_v	500		500																																				
8	呂洞賓	3546	呂洞賓	10000000	basic_damage_v	500		500																																				
9	張三豐	3547	張三豐	10000000	basic_damage_v	500		500																																				
10	西施	3548	西施	10000000	basic_damage_v	500		500																																				
11	獨孤劍	1471	獨孤劍·巨闕劍	3000000	basic_damage_v	300		300																																				
12	南宮飛雲	1472	南宮飛雲·劍中之劍	3000000	basic_damage_v	300		300																																				
13	楊影楓	1473	楊影楓·悲魔之刃	3000000	basic_damage_v	300		300																																				
14	唐簡	1474	唐簡·玄雨雙星	3000000	basic_damage_v	300		300																																				
15	玄天道人	1475	玄天道人·雪墨	3000000	basic_damage_v	300		300																																				
16	SS6	1476	SS6·(SS6本命武器)	3000000	basic_damage_v	300		300																																				
17	李元霸	1477	李元霸·擂鼓甕金錘	3000000	basic_damage_v	300		300																																				
18	趙雲	1478	趙雲·龍膽亮銀槍	3000000	basic_damage_v	300		300																																				
19	李廣	1479	李廣·射虎弓	3000000	basic_damage_v	300		300																																				
20	荊軻	1480	荊軻·麒麟匕	3000000	basic_damage_v	300		300																																				
21	虞姬	1481	虞姬·繞梁琴	3000000	basic_damage_v	300		300																																				
22	岳飛	1482	岳飛·瀝泉神矛	3000000	basic_damage_v	300		300																																				
23	月眉兒	1486	月眉兒·冰心仙子	1000000	basic_damage_v	200		200																																				
24	楊瑛	1487	楊瑛·朝陽燦金槍	1000000	basic_damage_v	200		200																																				
25	祝子虛	1489	祝子虛·太霄神槍	1000000	basic_damage_v	200		200																																				
26	清曉師太	1488	清曉師太·滌塵劍	1000000	basic_damage_v	200		200																																				
27	黃暮雲	1490	黃暮雲·碧海潮生弓	1000000	basic_damage_v	200		200																																				
28	道一真人	1491	道一真人·璿璣劍	1000000	basic_damage_v	200		200																																				
29	端木睿	1492	端木睿·奪魂刃	1000000	basic_damage_v	200		200																																				
30	玄因	1493	玄因·菩提禪杖	1000000	basic_damage_v	200		200																																				
31	尹含煙	1494	尹含煙·（尹含煙）	1000000	basic_damage_v	200		200																																				
32	黑面郎君	1495	黑面郎君·五蠱奪魂	1000000	basic_damage_v	200		200																																				
33	璿璣子	1496	璿璣子·（璿璣子）	1000000	basic_damage_v	200		200																																				
34	何人我	1497	何人我·虯龍棍	1000000	basic_damage_v	200		200																																				
