KEY_GROUP	KEY_ID_BEGIN	KEY_ID_END	TYPE	PLAYER_SAVE_TABLE	SYNC	DESC
1~255	1~255	1~255	0:int,1buf		同步到用戶端	
1	1	3	0		1	玩家體力值
2	1	50	0		1	貨幣
3	1	50	0		1	貨幣償還記錄
3	51	60	0		1	貨幣償還額外資訊
5	1	15	0		1	復仇,抓捕,送體力
6	1	10	0		1	各裝備部位強化等級
6	11	20	0		1	各裝備部位突破次數
6	21	30	0		1	各裝備部位強化失敗次數
6	31	41	0		1	31-40各部位每天強化次數，41最後強化天數
7	1	30	0		1	排行榜
8	1	2	0			BOOS首領獎勵
9	1	2	0		1	隨機副本次數
10	1	6	0		1	搶碎片免戰時間，次數
11	1	7	0		1	戰場次數,競技資格
12	1	6	0		1	地宮次數,探索次數
12	7	11	0		0	上次探索出地宮天數，對應今天探索次數
13	1	8	0		1	組隊副本次數
14	1	6	0		1	搖錢樹免費次數與額外次數
14	7	8	0		1	周卡月卡活動
14	9	10	0		1	祈福，現在是少2個給周卡活動了
15	1	255	0		1	快速購買
16	1	2			1	懲惡次數
17	1	4				懲惡殺死的次數
18	1	20			1	教育引導
19	1	4	0		1	登入獎勵數據
20	1	72	0		1	儲值
21	1	44	0		1	彩聊次數1，及聊天相關，頭框，背景分別為2,3, 跨服主播許可權為4， 5~44為關注主播
22	1	4	0		1	簽到獎勵
23	1	10	0		1	傳功
24	1	10			1	群英會
25	1	4	0		1	免費體力領取
26	1	2	0		1	改名
27	1	1			1	頭銜任務
28	1	21	0		1	答題活動資料
29	1	255	0		1	成就資訊
30	1	255	0		1	成就計數
31	1	2	0		1	奇遇秘境次數
32	1	2	0		1	幫派捐獻次數
32	3	3	0		1	加入幫派CD冷卻時間戳記
33	1	2	0		1	商會任務次數
34	1	255	0		0	特權碼禮包領取標識
35	1	2			0	幫派巢穴獎勵
36	1	2	0		0	幫派盜賊獎勵
37	1	1	0		1	惡名值
38	1	2	0		1	1江湖試煉接受任務標誌
39	1	255	0		1	玩家頭像
40	1	2	0		1	幫派任務
41	1	100	0		1	各裝備部位鑲嵌資訊
42	1	255	0		1	用於開服第一天gateway不穩定的補償標誌
43	1	9	0		1	英雄挑戰
44	1	12			1	英雄挑戰顯示頭像
45	1	14	0		1	通天塔
46	1	2	0		1	白虎堂
47	1	2	0		1	武器開光
48	1	3	0		1	幫派運鏢個人標示
49	1	4	0		1	修煉
49	10	15	0		1	秦始皇陵掛機時間
50	1	6	0		1	公聊次數，主播頻道聊天次數
51	1	2	0		1	同伴組合啟動屬性
52	1	255	0		1	成就計數擴展
53	1	1	0		1	消耗的技能點
54	1	10	0		1	技能點書
55	1	1	0		1	同伴副本
56	1	50	0		1	補領獎勵
57	1	12	0		1	卡片收集活動收集冊資料
58	1	10	0		1	夏日好禮迎新服
59	1	10	0		1	七夕
60	1	2	0		1	開放等級上限慶典活動
61	1	100	0		1	回歸特權
61	101	255	0		1	玩家召回
62	1	10	0		1	中秋節活動
63	1	10	0		1	增加玩家潛能道具
64	1	10	0		1	buff道具使用數量
