Type	TitleID	Name	Achievement	ColorDesc	ColorID	GTopColorID	GBottomColorID	OutlineColorID	Timeout	ImgAltlas	ImgPrefix	EffectResID	Rank	WorldNotify	Desc	Quality	Icon
null1	1	未使用							100				1		未使用的稱號ID		
null2	2	未使用							100	UI/Atlas/SkillIcon/SkillIcon.prefab	TianwangSkill_0		1		未使用的稱號ID		
null3	3	未使用							100			17	1		未使用的稱號ID		
null4	4	未使用											1		未使用的稱號ID		
null5	5	未使用											1		未使用的稱號ID		
null6	6	未使用											1		未使用的稱號ID		
null7	7	未使用											1		未使用的稱號ID		
null8	8	未使用											1		未使用的稱號ID		
punish_1	9	懲惡任務·嘍囉		白色稱號	200								1		懲惡任務		
punish_2	10	懲惡任務·嘍囉		綠色稱號	200	201	202	203					1		懲惡任務		
punish_3	11	懲惡任務·精英		藍色稱號	200	204	205	206					1		懲惡任務		
punish_4	12	懲惡任務·頭目		紫色稱號	200	207	208	209					1		懲惡任務		
punish_5	13	懲惡任務·頭目		橙色稱號	200	213	214	215					1		懲惡任務		
dota	14	大殺特殺		綠色稱號	200	201	202	203					1		戰場稱號		
dota	15	接近暴走		藍色稱號	200	204	205	206					2		戰場稱號		
dota	16	無人可擋		紫色稱號	200	207	208	209					3		戰場稱號		
dota	17	主宰戰場		粉色稱號	200	210	211	212					4		戰場稱號		
dota	18	接近神了		橙色稱號	200	213	214	215					5		戰場稱號		
dota	19	超神		金色稱號	200	216	217	218					6		戰場稱號		
CommerceTask1	20	未成熟		白色稱號	200								1		商會採集物		
CommerceTask2	21	藥草守衛		白色稱號	200								1		商會守衛		
CommerceTask3	22																
CommerceTask4	23																
CommerceTask5	24																
CommerceTask6	25																
QYMJ	26	山賊頭目		藍色稱號	200	204	205	206					1		山賊密窟NPC稱號		
BHT	27	一層頭目		藍色稱號	200	204	205	206					1		白虎堂NPC稱號		
BHT	28	二層頭目		藍色稱號	200	204	205	206					1		白虎堂NPC稱號		
BHT	29	三層頭目		藍色稱號	200	204	205	206					1		白虎堂NPC稱號		
BHT	30	四層首領		紫色稱號	200	207	208	209					1		白虎堂NPC稱號		
InDifferShopNpc	31	童叟無欺		粉色稱號	200	210	211	212					1		心魔幻境NPC稱號		
citynpc1	100	唐門俠少		藍色稱號	200	204	205	206					1		城市NPC稱號		
citynpc2	101	江湖女俠		藍色稱號	200	204	205	206					1		城市NPC稱號		
citynpc3	102	皇城守衛		綠色稱號	200	201	202	203					1		城市NPC稱號		
citynpc4	103	活動接引人		粉色稱號	200	210	211	212					1		城市NPC稱號		
citynpc5	104	清麗佳人		綠色稱號	200	201	202	203					1		城市NPC稱號		
citynpc6	105	戰場演練		綠色稱號	200	201	202	203					1		城市NPC稱號		
citynpc7	106	偷偷摸摸		綠色稱號	200	201	202	203					1		城市NPC稱號		
citynpc8	107	鑄劍師		藍色稱號	200	204	205	206					1		城市NPC稱號		
citynpc9	108	武林新秀		藍色稱號	200	204	205	206					1		城市NPC稱號		
citynpc10	109	商會任務		粉色稱號	200	210	211	212					1		城市NPC稱號		
citynpc11	110	隱香樓老闆		藍色稱號	200	204	205	206									
citynpc12	111	藏劍公子		藍色稱號	200	204	205	206									
citynpc13	112	楓葉明珠		藍色稱號	200	204	205	206									
citynpc14	113	悲魔劍聖		紫色稱號	200	207	208	209									
citynpc15	114	武林盟主		紫色稱號	200	207	208	209									
citynpc16	115	比武場接引人		粉色稱號	200	210	211	212									
citynpc17	116	擂臺報名人		粉色稱號	200	210	211	212									
citynpc18	117	忘憂酒館掌櫃		紫色稱號	200	207	208	209									
citynpc19	118	賣船票的小姑娘		粉色稱號	200	210	211	212					1		情人節Npc稱號		
citynpc20	119	花使		紫色稱號	200	207	208	209					1		植樹節Npc稱號		
citynpc21	120	家園管理員		粉色稱號	200	210	211	212							家園管理員NPC		
citynpc22	121	選美大會司儀		粉色稱號	200	210	211	212							武林第一美女評選NPC		
citynpc23	122	商會少當家		藍色稱號	200	204	205	206					1				
citynpc24	123	桃花島主		紫色稱號	200	207	208	209							機率展示NPC		
citynpc25	124	婚禮商人		粉色稱號	200	210	211	212							鳳囍稱號		
citynpc26	125	婚禮司儀		粉色稱號	200	210	211	212							月老稱號		
citynpc27	126	媒人		粉色稱號	200	210	211	212							紅娘稱號		
citynpc28	127			紫色稱號	200	207	208	209									
citynpc29	128			紫色稱號	200	207	208	209									
citynpc30	129			紫色稱號	200	207	208	209									
citynpc31	130			粉色稱號	200	210	211	212									
citynpc32	131			粉色稱號	200	210	211	212									
citynpc33	132			粉色稱號	200	210	211	212									
citynpc34	133			粉色稱號	200	210	211	212									
citynpc35	134			粉色稱號	200	210	211	212									
citynpc36	135			粉色稱號	200	210	211	212									
citynpc37	136			粉色稱號	200	210	211	212									
citynpc38	137			粉色稱號	200	210	211	212									
citynpc39	138			粉色稱號	200	210	211	212									
citynpc40	139			粉色稱號	200	210	211	212									
citynpc41	140			橙色稱號	200	213	214	215									
citynpc42	141			橙色稱號	200	213	214	215									
citynpc43	142			橙色稱號	200	213	214	215									
citynpc44	143			橙色稱號	200	213	214	215									
citynpc45	144			橙色稱號	200	213	214	215									
citynpc46	145			橙色稱號	200	213	214	215									
citynpc47	146			橙色稱號	200	213	214	215									
citynpc48	147			橙色稱號	200	213	214	215									
citynpc49	148			橙色稱號	200	213	214	215									
citynpc50	149			橙色稱號	200	213	214	215									
birthplacenpc1	150	無憂少女		紫色稱號	200	207	208	209							新手村NPC		
birthplacenpc2	151	絕世梟雄		粉色稱號	200	210	211	212							新手村NPC		
birthplacenpc3	152	村民		藍色稱號	200	204	205	206							新手村NPC		
birthplacenpc4	153	村民		藍色稱號	200	204	205	206							新手村NPC		
birthplacenpc5	154	村民		藍色稱號	200	204	205	206							新手村NPC		
birthplacenpc6	155	村民		藍色稱號	200	204	205	206							新手村NPC		
birthplacenpc7	156	藏劍莊主		紫色稱號	200	207	208	209							新手村NPC		
birthplacenpc8	157	村民		綠色稱號	200	201	202	203							新手村NPC		
birthplacenpc9	158	村民		綠色稱號	200	201	202	203							新手村NPC		
birthplacenpc10	159	村民		綠色稱號	200	201	202	203							新手村NPC		
birthplacenpc11	160	師徒管理員		粉色稱號	200	210	211	212							新手村NPC		
Battle_NPC_1	201	宋軍大將		紫色稱號	200	207	208	209							戰場NPC稱號		
Battle_NPC_2	202	宋軍元帥		橙色稱號	200	213	214	215							戰場NPC稱號		
Battle_NPC_3	203	金軍大將		紫色稱號	200	207	208	209							戰場NPC稱號		
Battle_NPC_4	204	金軍元帥		橙色稱號	200	213	214	215							戰場NPC稱號		
Battle_NPC_5	205	攻擊		白色稱號	200										戰場NPC稱號		
Battle_NPC_6	206	回血		白色稱號	200										戰場NPC稱號		
Battle_Player_1	210	宋軍士兵		白色稱號	200										戰場玩家稱號		
Battle_Player_2	211	宋軍校尉		綠色稱號	200	201	202	203							戰場玩家稱號		
Battle_Player_3	212	宋軍統領		藍色稱號	200	204	205	206							戰場玩家稱號		
Battle_Player_4	213	宋軍副將		紫色稱號	200	207	208	209							戰場玩家稱號		
Battle_Player_5	214	宋軍大將		粉色稱號	200	210	211	212							戰場玩家稱號		
Battle_Player_6	215	宋軍元帥		橙色稱號	200	213	214	215							戰場玩家稱號		
Battle_Player_7	216	戰場月度賽選手	Title_Normal;	藍色稱號	200	204	205	206					1		獲得宋金戰場月度賽資格		
Battle_Player_8	217	戰場季度賽選手	Title_Normal;Title_Purple	紫色稱號	200	207	208	209					1		獲得宋金戰場季度賽資格		
Battle_Player_9	218	戰場年度賽選手	Title_Normal;Title_Pink	粉色稱號	200	210	211	212					1		獲得宋金戰場年度賽資格		
Battle_Player_10	219	金軍士兵		白色稱號	200										戰場玩家稱號		
Battle_Player_11	220	金軍校尉		綠色稱號	200	201	202	203							戰場玩家稱號		
Battle_Player_12	221	金軍統領		藍色稱號	200	204	205	206							戰場玩家稱號		
Battle_Player_13	222	金軍副將		紫色稱號	200	207	208	209							戰場玩家稱號		
Battle_Player_14	223	金軍大將		粉色稱號	200	210	211	212							戰場玩家稱號		
Battle_Player_15	224	金軍元帥		橙色稱號	200	213	214	215							戰場玩家稱號		
KinTaskNpc1	300	武癡		藍色稱號	200	204	205	206					1		幫派任務NPC		
FactionBattle1	301	天王新人王	Title_Normal;Title_Pink	粉色稱號	200	210	211	212					1		門派競技活動第一名獲得此稱號		
FactionBattle2	302	逍遙新人王	Title_Normal;Title_Pink	粉色稱號	200	210	211	212					1		門派競技活動第一名獲得此稱號		
FactionBattle3	303	桃花新人王	Title_Normal;Title_Pink	粉色稱號	200	210	211	212					1		門派競技活動第一名獲得此稱號		
FactionBattle4	304	峨嵋新人王	Title_Normal;Title_Pink	粉色稱號	200	210	211	212					1		門派競技活動第一名獲得此稱號		
FactionBattle5	305	武當新人王	Title_Normal;Title_Pink	粉色稱號	200	210	211	212					1		門派競技活動第一名獲得此稱號		
FactionBattle6	306	天忍新人王	Title_Normal;Title_Pink	粉色稱號	200	210	211	212					1		門派競技活動第一名獲得此稱號		
FactionBattle7	307	少林新人王	Title_Normal;Title_Pink	粉色稱號	200	210	211	212					1		門派競技活動第一名獲得此稱號		
