TeamID	Name	HeroName	Faction	Level	ExtAttribId	HonorLevel	PartnerId1	PartnerId2	PartnerId3	PartnerId4	PartnerLevel	Strength	Vitality	Dexterity	Energy	SkillLevel	SkillID1	SkillID2	SkillID3	SkillID4	SkillID5
1	武神殿守護者	官書琴	1	10	1	0	96				5	0	0	0	0	1					
2	武神殿守護者	龔志誠	2	10	1	0		96			5	0	0	0	0	1					
3	武神殿守護者	左丘翰林	3	10	1	0			96		5	0	0	0	0	1					
4	武神殿守護者	仲孫宏遠	4	10	1	0				96	5	0	0	0	0	1					
5	武神殿守護者	章憶達	5	10	1	0	96				5	0	0	0	0	1					
6	武神殿守護者	獨孤俊譽	6	10	1	0		96			5	0	0	0	0	1					
7	武神殿守護者	嚴銳精	1	10	1	0			96		5	0	0	0	0	1					
8	武神殿守護者	欒覓雲	2	10	1	0				96	5	0	0	0	0	1					
9	武神殿守護者	司馬亦旋	3	10	1	0	96				5	0	0	0	0	1					
10	武神殿守護者	段憶雪	4	10	1	0		96			5	0	0	0	0	1					
11	武神殿守護者	穆墨容	5	10	1	0			96		5	0	0	0	0	1					
12	武神殿守護者	沈星火	6	10	1	0				96	5	0	0	0	0	1					
13	武神殿守護者	令狐思楓	1	10	1	0	96				5	0	0	0	0	1					
14	武神殿守護者	慕寒松	2	10	1	0		96			5	0	0	0	0	1					
15	武神殿守護者	賀和光	3	10	1	0			96		5	0	0	0	0	1					
16	武神殿守護者	穆鴻熙	4	11	1	0				96	6	0	0	0	0	1					
17	武神殿守護者	蘇弘文	5	11	1	0	96				6	0	0	0	0	1					
18	武神殿守護者	雍嘉賜	6	11	1	0		96			6	0	0	0	0	1					
19	武神殿守護者	伍興業	1	11	1	0			96		6	0	0	0	0	1					
20	武神殿守護者	邢宜人	2	11	1	0				96	6	0	0	0	0	1					
21	武神殿守護者	薑嘉樹	3	11	1	0	96				6	0	0	0	0	1					
22	武神殿守護者	東門思宣	4	11	1	0		96			6	0	0	0	0	1					
23	武神殿守護者	秦雁戮	5	11	1	0			96		6	0	0	0	0	1					
24	武神殿守護者	車映真	6	11	1	0				96	6	0	0	0	0	1					
25	武神殿守護者	羅才良	1	11	1	0	96				6	0	0	0	0	1					
26	武神殿守護者	熊墨雲	2	11	1	0		96			6	0	0	0	0	1					
27	武神殿守護者	閻雪容	3	11	1	0			96		6	0	0	0	0	1					
28	武神殿守護者	項奇勝	4	11	1	0				96	6	0	0	0	0	1					
29	武神殿守護者	司鴻秋扇	5	11	1	0	96				6	0	0	0	0	1					
30	武神殿守護者	嚴以筠	6	11	1	0		96			6	0	0	0	0	1					
31	武神殿守護者	蔡詩丹	1	12	1	0	96	78			7	0	0	0	0	1					
32	武神殿守護者	龍博瀚	2	12	1	0		96	78		7	0	0	0	0	1					
33	武神殿守護者	衣訪琴	3	12	1	1			96	78	7	0	0	0	0	1					
34	武神殿守護者	蕭和頌	4	12	1	1	78	96			7	0	0	0	0	1					
35	武神殿守護者	郭和昱	5	12	1	1		78	96		7	0	0	0	0	1					
36	武神殿守護者	簡曉博	6	12	2	1			78	96	7	0	0	0	0	1					
37	武神殿守護者	宋陽羽	1	12	2	1	96	78			7	0	0	0	0	1					
38	武神殿守護者	馬靈扇	2	12	2	1		96	78		7	0	0	0	0	1					
39	武神殿守護者	嶽敏叡	3	12	2	1			96	78	7	0	0	0	0	1					
40	武神殿守護者	徐靈松	4	12	2	1	78	96			7	0	0	0	0	1					
41	武神殿守護者	寇醉柳	5	12	2	1		78	96		7	0	0	0	0	1					
42	武神殿守護者	司馬明軒	6	12	2	1			78	96	7	0	0	0	0	1					
43	武神殿守護者	葉翰藻	1	12	2	1	96	78			7	0	0	0	0	1					
44	武神殿守護者	邢俊哲	2	12	2	1		96	78		7	0	0	0	0	1					
45	武神殿守護者	閭丘堅白	3	12	2	1			96	78	7	0	0	0	0	1					
46	武神殿守護者	蔔祺瑞	4	13	2	1	78	96			8	0	0	0	0	1					
47	武神殿守護者	林雅健	5	13	2	1		78	96		8	0	0	0	0	1					
48	武神殿守護者	帥文石	6	13	2	1			78	96	8	0	0	0	0	1					
49	武神殿守護者	鄔笑槐	1	13	2	1	96	78			8	0	0	0	0	1					
50	武神殿守護者	禹偉祺	2	13	2	1		96	78		8	0	0	0	0	1					
51	武神殿守護者	賈興騰	3	13	2	1			96	78	8	0	0	0	0	1					
52	武神殿守護者	柯燁爍	4	13	2	1	78	96			8	0	0	0	0	1					
53	武神殿守護者	鮑雅達	5	13	2	1		78	96		8	0	0	0	0	1					
54	武神殿守護者	梅覓雙	6	13	2	1			78	96	8	0	0	0	0	1					
55	武神殿守護者	瞿睿識	1	13	2	1	96	76			8	0	0	0	0	1					
56	武神殿守護者	魯承基	2	13	2	1	96	77	102		8	0	0	0	0	1					
57	武神殿守護者	金白安	3	13	2	1	96	78	103		8	0	0	0	0	1					
58	武神殿守護者	項懷寒	4	13	2	1	96	79	104		8	0	0	0	0	1					
59	武神殿守護者	木志學	5	13	2	1	96	80	105		8	0	0	0	0	1					
60	武神殿守護者	慕聽風	6	13	2	1	96	81	106		8	0	0	0	0	1					
61	武神殿守護者	東門斌蔚	1	14	2	1	96	82	107		9	0	0	0	0	1					
62	武神殿守護者	彭雁菡	2	14	2	1	96	83	108		9	0	0	0	0	1					
63	武神殿守護者	胡星漢	3	14	2	1	96	84	109		9	0	0	0	0	1					
64	武神殿守護者	池盼易	4	14	2	1	96	85	102		9	0	0	0	0	1					
65	武神殿守護者	桑白竹	5	14	2	1	96	86	103		9	0	0	0	0	1					
66	武神殿守護者	全語兒	6	14	2	1	96	87	104		9	0	0	0	0	1					
67	武神殿守護者	黨宏博	1	14	2	1	96	88	105		9	0	0	0	0	1					
68	武神殿守護者	韋元瑤	2	14	2	1	96	89	106		9	0	0	0	0	1					
69	武神殿守護者	華幻楓	3	14	2	1	96	90	107		9	0	0	0	0	1					
70	武神殿守護者	成傲易	4	14	2	1	96	91	108		9	0	0	0	0	1					
71	武神殿守護者	石英睿	5	14	2	1	96	92	109		9	0	0	0	0	1					
72	武神殿守護者	司鴻紹鈞	6	14	2	1	96	93	102		9	0	0	0	0	1					
73	武神殿守護者	周思淼	1	14	2	1	96	94	103		9	0	0	0	0	1					
74	武神殿守護者	宇文憶南	2	14	2	1	96	95	104		9	0	0	0	0	1					
75	武神殿守護者	司凝連	3	14	2	1	96	76	105		9	0	0	0	0	1					
76	武神殿守護者	孟以騰	4	15	2	1	96	77	106		10	0	0	0	0	1					
77	武神殿守護者	雍易槐	5	15	2	1	96	78	107		10	0	0	0	0	1					
78	武神殿守護者	戚堅誠	6	15	2	1	96	79	108		10	0	0	0	0	1					
79	武神殿守護者	牟慕雁	1	15	2	1	96	80	109		10	0	0	0	0	1					
80	武神殿守護者	耿勇男	2	15	2	1	96	81	102		10	0	0	0	0	1					
81	武神殿守護者	游修筠	3	15	2	2	96	82	103		10	0	0	0	0	1					
82	武神殿守護者	尉遲惜扇	4	15	2	2	96	83	104		10	0	0	0	0	1					
83	武神殿守護者	馬心遠	5	15	2	2	96	84	105		10	0	0	0	0	1					
84	武神殿守護者	閻天驕	6	15	2	2	96	85	106		10	0	0	0	0	1					
85	武神殿守護者	帥書柳	1	15	2	2	96	86	107		10	0	0	0	0	1					
86	武神殿守護者	麥彭彭	2	16	2	2	96	87	108		11	0	0	0	0	1					
87	武神殿守護者	連成和	3	16	2	2	96	88	109		11	0	0	0	0	1					
88	武神殿守護者	司空宏深	4	16	2	2	96	89	102		11	0	0	0	0	1					
89	武神殿守護者	易寄瑤	5	16	2	2	96	90	103		11	0	0	0	0	1					
90	武神殿守護者	苗白卉	6	16	2	2	96	91	104		11	0	0	0	0	1					
91	武神殿守護者	時俊傑	1	16	2	2	96	92	105		11	0	0	0	0	1					
92	武神殿守護者	鄺飛書	2	16	2	2	96	93	106		11	0	0	0	0	1					
93	武神殿守護者	寇華翰	3	16	2	2	96	94	107		11	0	0	0	0	1					
94	武神殿守護者	淳于冷霜	4	16	2	2	96	95	108		11	0	0	0	0	1					
95	武神殿守護者	任寄靈	5	16	2	2	96	76	109		11	0	0	0	0	1					
96	武神殿守護者	何自怡	6	17	2	2	96	77	102		12	0	0	0	0	1					
97	武神殿守護者	家凡之	1	17	2	2	96	78	103		12	0	0	0	0	1					
98	武神殿守護者	隋亦遊	2	17	2	2	96	79	104		12	0	0	0	0	1					
99	武神殿守護者	管初瑤	3	17	2	2	96	80	105		12	0	0	0	0	1					
100	武神殿守護者	蕭浩博	4	17	2	2	96	81	106		12	0	0	0	0	1					
101	武神殿守護者	查以柳	5	17	2	2	96	82	107		12	0	0	0	0	1					
102	武神殿守護者	西門靈安	6	17	2	2	96	83	108		12	0	0	0	0	1					
103	武神殿守護者	蔔海冬	1	17	2	2	96	84	109		12	0	0	0	0	1					
104	武神殿守護者	尉遲良翰	2	17	2	2	96	85	102		12	0	0	0	0	1					
105	武神殿守護者	榮夏真	3	17	2	2	96	86	103		12	0	0	0	0	1					
106	武神殿守護者	單于樂凡	4	18	2	2	96	87	104	59	13	0	0	0	0	1					
107	武神殿守護者	郎半安	5	18	2	2	96	88	105	59	13	0	0	0	0	1					
