AttribId	AttribType	Value1	Value2	Value3
101	lifemax_v	2500	0	0
1	physical_damage_v	30	0	30
1	physical_wooddamage_v	5	0	5
1	weaken_deadlystrike_v	15	0	0
1	strength_v	25	0	0
1	attackrate_v	400	0	0
1	dexterity_v	25	0	0
1	water_resist_v	81	0	0
1	energy_v	25	0	0
1	fire_resist_v	81	0	0
1	runspeed_p	7	0	0
1	add_seriesstate_rate_v	70	0	0
1	physical_waterdamage_v	5	0	5
1	vitality_v	25	0	0
1	deadlystrike_v	15	0	0
1	wood_resist_v	81	0	0
1	basic_damage_v	10	0	10
1	physical_firedamage_v	5	0	5
1	deadlystrike_damage_p	4	0	0
1	weaken_deadlystrike_damage_p	4	0	0
1	physical_earthdamage_v	5	0	5
1	lifemax_v	2060	0	0
1	all_series_resist_v	27	0	0
1	earth_resist_v	81	0	0
1	resist_allseriesstate_rate_v	70	0	0
2	physical_damage_v	170	0	170
2	physical_wooddamage_v	10	0	10
2	weaken_deadlystrike_v	30	0	0
2	strength_v	50	0	0
2	attackrate_v	480	0	0
2	dexterity_v	50	0	0
2	water_resist_v	102	0	0
2	energy_v	50	0	0
2	fire_resist_v	102	0	0
2	runspeed_p	7	0	0
2	add_seriesstate_rate_v	80	0	0
2	physical_waterdamage_v	10	0	10
2	vitality_v	50	0	0
2	deadlystrike_v	30	0	0
2	wood_resist_v	102	0	0
2	basic_damage_v	20	0	20
2	physical_firedamage_v	10	0	10
2	deadlystrike_damage_p	6	0	0
2	weaken_deadlystrike_damage_p	6	0	0
2	physical_earthdamage_v	10	0	10
2	lifemax_v	7600	0	0
2	all_series_resist_v	34	0	0
2	earth_resist_v	102	0	0
2	resist_allseriesstate_rate_v	80	0	0
3	physical_damage_v	222	0	222
3	physical_wooddamage_v	20	0	20
3	weaken_deadlystrike_v	60	0	0
3	strength_v	100	0	0
3	attackrate_v	640	0	0
3	dexterity_v	100	0	0
3	water_resist_v	144	0	0
3	energy_v	100	0	0
3	fire_resist_v	144	0	0
3	runspeed_p	7	0	0
3	add_seriesstate_rate_v	100	0	0
3	physical_waterdamage_v	20	0	20
3	vitality_v	140	0	0
3	deadlystrike_v	60	0	0
3	wood_resist_v	144	0	0
3	basic_damage_v	40	0	40
3	physical_firedamage_v	20	0	20
3	deadlystrike_damage_p	12	0	0
3	weaken_deadlystrike_damage_p	12	0	0
3	physical_earthdamage_v	20	0	20
3	lifemax_v	11200	0	0
3	all_series_resist_v	49	0	0
3	earth_resist_v	144	0	0
3	resist_allseriesstate_rate_v	100	0	0
4	physical_damage_v	310	0	310
4	physical_wooddamage_v	15	0	15
4	weaken_deadlystrike_v	81	0	0
4	strength_v	75	0	0
4	defense_v	96	0	0
4	dexterity_v	75	0	0
4	physical_waterdamage_v	15	0	15
4	wood_resist_v	153	0	0
4	physical_firedamage_v	15	0	15
4	water_resist_v	153	0	0
4	energy_v	75	0	0
4	fire_resist_v	153	0	0
4	add_seriesstate_rate_v	146	0	0
4	attackrate_v	720	0	0
4	ignore_all_resist_v	300	18	0
4	vitality_v	168	0	0
4	deadlystrike_v	81	0	0
4	deadlystrike_damage_p	10	0	0
4	basic_damage_v	30	0	30
4	physical_earthdamage_v	15	0	15
4	earth_resist_v	153	0	0
4	weaken_deadlystrike_damage_p	10	0	0
4	runspeed_p	8	0	0
4	lifemax_v	12600	0	0
4	all_series_resist_v	71	0	0
4	ignore_defense_v	96	0	0
4	resist_allseriesstate_rate_v	146	0	0
5	physical_damage_v	361	0	361
5	physical_wooddamage_v	25	0	25
5	weaken_deadlystrike_v	111	0	0
5	strength_v	125	0	0
5	defense_v	96	0	0
5	dexterity_v	125	0	0
5	physical_waterdamage_v	25	0	25
5	wood_resist_v	195	0	0
5	physical_firedamage_v	25	0	25
5	water_resist_v	195	0	0
5	energy_v	125	0	0
5	fire_resist_v	195	0	0
5	add_seriesstate_rate_v	166	0	0
5	attackrate_v	880	0	0
5	ignore_all_resist_v	300	18	0
5	vitality_v	245	0	0
5	deadlystrike_v	111	0	0
5	deadlystrike_damage_p	16	0	0
5	basic_damage_v	50	0	50
5	physical_earthdamage_v	25	0	25
5	earth_resist_v	195	0	0
5	weaken_deadlystrike_damage_p	16	0	0
5	runspeed_p	8	0	0
5	lifemax_v	16200	0	0
5	all_series_resist_v	86	0	0
5	ignore_defense_v	96	0	0
5	resist_allseriesstate_rate_v	166	0	0
6	physical_damage_v	472	0	472
6	physical_wooddamage_v	30	0	30
6	weaken_deadlystrike_v	162	0	0
6	strength_v	150	0	0
6	defense_v	192	0	0
6	dexterity_v	150	0	0
6	physical_waterdamage_v	30	0	30
6	wood_resist_v	231	0	0
6	physical_firedamage_v	30	0	30
6	water_resist_v	231	0	0
6	energy_v	150	0	0
6	fire_resist_v	231	0	0
6	add_seriesstate_rate_v	216	0	0
6	attackrate_v	1040	0	0
6	ignore_all_resist_v	300	36	0
6	vitality_v	390	0	0
6	deadlystrike_v	162	0	0
6	deadlystrike_damage_p	18	0	0
6	basic_damage_v	60	0	60
6	physical_earthdamage_v	30	0	30
6	earth_resist_v	231	0	0
6	weaken_deadlystrike_damage_p	18	0	0
6	runspeed_p	8	0	0
6	lifemax_v	20200	0	0
6	all_series_resist_v	119	0	0
6	ignore_defense_v	192	0	0
6	resist_allseriesstate_rate_v	216	0	0
