RankRoom	BeginNo	EndNo	NpcTeam	Award
1	1	1	159	3000
2	2	2	158	2500
3	3	3	157	2000
4	4	4	156	1950
5	5	5	155	1900
6	6	6	154	1800
7	7	7	153	1760
8	8	8	152	1720
9	9	9	151	1680
10	10	10	150	1640
11	11	11	149	1600
12	12	12	148	1580
13	13	13	147	1560
14	14	14	146	1540
15	15	15	145	1520
16	16	16	144	1500
17	17	17	143	1480
18	18	18	142	1460
19	19	19	141	1440
20	20	20	140	1420
21	21	23	139	1400
22	24	26	138	1390
23	27	29	137	1380
24	30	32	136	1370
25	33	35	135	1360
26	36	38	134	1350
27	39	41	133	1340
28	42	44	132	1330
29	45	47	131	1320
30	48	50	130	1310
31	51	55	129	1300
32	56	60	128	1290
33	61	65	127	1280
34	66	70	126	1270
35	71	75	125	1260
36	76	80	124	1250
37	81	85	123	1240
38	86	90	122	1230
39	91	95	121	1220
40	96	100	120	1210
41	101	105	119	1200
42	106	110	118	1190
43	111	115	117	1180
44	116	120	116	1170
45	121	125	115	1160
46	126	130	114	1150
47	131	135	113	1140
48	136	140	112	1130
49	141	145	111	1120
50	146	150	110	1110
51	151	160	109	1100
52	161	170	108	1090
53	171	180	107	1080
54	181	190	106	1070
55	191	200	105	1060
56	201	210	104	1050
57	211	220	103	1040
58	221	230	102	1030
59	231	240	101	1020
60	241	250	100	1010
61	251	265	99	1000
62	266	280	98	990
63	281	295	97	980
64	296	310	96	970
65	311	325	95	960
66	326	340	94	950
67	341	355	93	940
68	356	370	92	930
69	371	385	91	920
70	386	400	90	910
71	401	440	89	900
72	441	480	88	890
73	481	520	87	880
74	521	560	86	870
75	561	600	85	860
76	601	660	84	850
77	661	720	83	840
78	721	780	82	830
79	781	840	81	820
80	841	900	80	810
81	901	960	78	800
82	961	1020	76	790
83	1021	1080	74	780
84	1081	1140	72	770
85	1141	1200	70	760
86	1201	1280	68	750
87	1281	1360	66	740
88	1361	1440	64	730
89	1441	1520	62	720
90	1521	1600	60	710
91	1601	1680	58	700
92	1681	1760	56	690
93	1761	1840	54	680
94	1841	1920	52	670
95	1921	2000	50	660
96	2001	2100	48	650
97	2101	2200	46	640
98	2201	2300	44	630
99	2301	2400	42	620
100	2401	2500	40	610
101	2501	2525	38	600
102	2526	2550	36	595
103	2551	2575	34	590
104	2576	2600	32	585
105	2601	2625	30	580
106	2626	2650	28	575
107	2651	2675	26	570
108	2676	2700	24	565
109	2701	2725	22	560
110	2726	2750	20	555
111	2751	2775	18	550
112	2776	2800	16	545
113	2801	2825	14	540
114	2826	2850	12	535
115	2851	2875	10	530
116	2876	2900	8	525
117	2901	2925	6	520
118	2926	2950	4	515
119	2951	2975	2	510
120	2976	3000	1	505
