ProductId	szDesc	szServiceCode	nLastingDay	nMoney	szMoneyType	nNeedVipLevel	szAward	szFirstAward	szThirdAward	szFourthAward	szFifthAward	szGroup	nGroupIndex	szVersion	nEndTimeKey	nBuyDayKey	szSprite	szFirstDesc	szNoromalDesc	Plat
com.tencent.jxqy.money60	60元寶		0	600	RMB		Gold|5	Gold|60				BuyGold	1	version_tx			Recharge_00	另送60元寶，限購1次	60元寶(贈送5元寶)	
com.tencent.jxqy.money300	300元寶			3000	RMB		Gold|30	Gold|300				BuyGold	2	version_tx			Recharge_02	另送300元寶，限購1次	300元寶(贈送30元寶)	
com.tencent.jxqy.money980	980元寶			9800	RMB		Gold|150	Gold|980				BuyGold	3	version_tx			Recharge_03	另送980元寶，限購1次	980元寶(贈送150元寶)	
com.tencent.jxqy.money1980	1980元寶			19800	RMB		Gold|400	Gold|1980				BuyGold	4	version_tx			Recharge_04	另送1980元寶，限購1次	1980元寶(贈送400元寶)	
com.tencent.jxqy.money3280	3280元寶			32800	RMB		Gold|850	Gold|3280				BuyGold	5	version_tx			Recharge_05	另送3280元寶，限購1次	3280元寶(贈送850元寶)	
com.tencent.jxqy.money6480	6480元寶			64800	RMB		Gold|2000	Gold|6480				BuyGold	6	version_tx			Recharge_06	另送6480元寶，限購1次	6480元寶(贈送2000元寶)	
com.tencent.jxqy.gift18	7日禮包	weekcard	7	1800	RMB		Gold|180					DaysCard	1	version_tx	7		Recharge_09		7日禮包	
com.tencent.jxqy.gift30	30日禮包	monthcard	30	3000	RMB		Gold|300					DaysCard	2	version_tx	2		Recharge_10		30日禮包	
com.tencent.jxqy.giftlevel	一本萬利	invest	999999	8800	RMB							GrowInvest	1	version_tx					$12.99成長基金	
com.tencent.jxqy.giftlevel2	一本萬利·貳	invest2	999999	9800	RMB							GrowInvest	2	version_tx					$12.99成長基金	
com.tencent.jxqy.giftlevel3	一本萬利·三	invest3	999999	10800	RMB							GrowInvest	3	version_tx					成長基金	
com.tencent.jxqy.giftlevel108	一本萬利·金秋	investGQ	30	10800	RMB							GrowInvest	4	version_tx					108元金秋基金	
com.tencent.jxqy.giftlevel4	一本萬利·肆	invest4	999999	10800	RMB							GrowInvest	5	version_tx					成長基金	
com.tencent.jxqy.giftlevel5	一本萬利·伍	invest5	999999	10800	RMB							GrowInvest	6	version_tx					成長基金	
com.tencent.jxqy.return108	一本萬利·回歸	investRT	999999	10800	RMB	5						GrowInvest	7	version_tx					成長基金	
com.tencent.jxqy.gift1	白銀禮包	daycard	1	100	RMB	1	item|1242|1;Gold|10					DayGift	1	version_tx	11	13			$0.99購買	
com.tencent.jxqy.gift3	黃金禮包	daycard3	1	300	RMB	3	item|2518|1;Gold|30					DayGift	2	version_tx	16	14			$1.99購買	
com.tencent.jxqy.gift6	鑽石禮包	daycard6	1	600	RMB	5	item|2519|1;Gold|60					DayGift	3	version_tx	17	15			$2.99購買	
com.tencent.jxqy.gift10	十元禮包	daycard10	1	1000	RMB	5						DayGiftSet	1	version_tx	55	56			10元購買	ANDROID
com.tencent.jxqy.gift60	每日禮包合集（7天）	daycard60	7	6000	RMB	5						DayGiftPlus	1	version_tx	61				7日136禮包	
com.tencent.jxqy.deluxegift30	30元豪華禮包	deluxe30	1	3000	RMB		item|6529|1	item|6530|1	item|6531|1			YearGift	1	version_tx	40	41			價值30美金禮包	
com.tencent.jxqy.deluxegift98	98元豪華禮包	deluxe98	15	9800	RMB		item|6526|1	item|6527|1	item|6528|1			YearGift	2	version_tx	42	43			價值80美金禮包	
com.tencent.jxqy.deluxegift298	298元豪華禮包	deluxe298	15	29800	RMB		item|6523|1	item|6524|1	item|6525|1			YearGift	3	version_tx	44	45			價值250美金禮包	
com.tencent.jxqy.deluxegift648	648元豪華禮包	deluxe648	15	64800	RMB		item|6521|1	item|6522|1	item|6522|1			YearGift	4	version_tx	46	47			價值250美金禮包	
com.tencent.jxqy.enhancegift30	直強20	enhance30	2	3000	RMB		item|3922|1					DirectEnhance	1	version_tx	52			$4.99購買	價值290元禮包	
com.tencent.jxqy.enhancegift98	直強30	enhance98	2	9800	RMB		item|3923|1					DirectEnhance	2	version_tx	53			98元購買	價值737元禮包	
com.tencent.jxqy.enhancegift198	直強40	enhance198	2	19800	RMB		item|3924|1					DirectEnhance	3	version_tx	54			198元購買	價值1451元禮包	
com.tencent.jxqy.enhancegift388	直強50	enhance388	2	38800	RMB		item|3925|1					DirectEnhance	4	version_tx	73			388元購買	價值3600元禮包	
com.tencent.jxqy.return480	0.99$回歸元寶禮包	return480	1	600	RMB		Gold|480					BackGift	1	version_tx	67				價值48元禮包	
com.tencent.jxqy.return4800	3.99$回歸元寶禮包	return4800	1	3000	RMB		Gold|4800					BackGift	2	version_tx	68				價值480元禮包	
com.tencent.jxqy.return1	0.99$超值回歸禮包	return1	1	600	RMB		item|1242|6;Gold|60					BackGift	3	version_tx	69				價值60元禮包	
com.tencent.jxqy.return6	0.99$超值福利禮包	return6	1	600	RMB		item|2518|2;Gold|60					BackGift	4	version_tx	70				價值36元禮包	
com.tencent.jxqy.return30	3.99$超值豪華禮包	return30	1	3000	RMB		item|2519|5;Gold|300					BackGift	5	version_tx	71				價值150元禮包	
com.vng.jxm.item1	80元寶			200	VND		Gold|80	Gold|160				BuyGold	1	version_vn			Recharge_00	另送80元寶，限購1次	80元寶	
com.vng.jxm.item2	200元寶			500	VND		Gold|200	Gold|400				BuyGold	2	version_vn			Recharge_02	另送200元寶，限購1次	200元寶	
com.vng.jxm.item3	400元寶			1000	VND		Gold|400	Gold|800				BuyGold	3	version_vn			Recharge_03	另送400元寶，限購1次	400元寶	
com.vng.jxm.item4	2000元寶			5000	VND		Gold|2000	Gold|4000				BuyGold	4	version_vn			Recharge_04	另送2000元寶，限購1次	2000元寶	
com.vng.jxm.item5	4000元寶			10000	VND		Gold|4000	Gold|8000				BuyGold	5	version_vn			Recharge_05	另送4000元寶，限購1次	4000元寶	
com.vng.jxm.item6	6000元寶			15000	VND		Gold|6000	Gold|12000				BuyGold	6	version_vn			Recharge_06	另送6000元寶，限購1次	6000元寶	
com.vng.jxm.item14	20000元寶服務端			50000	VND		Gold|20000	Gold|20000				BuyGoldServer	1	version_vn						
com.vng.jxm.item15	40000元寶服務端			100000	VND		Gold|40000	Gold|40000				BuyGoldServer	2	version_vn						
com.vng.jxm.item7	7日禮包		7	500	VND		Gold|180					DaysCard	1	version_vn	7		Recharge_09		7日禮包	
com.vng.jxm.item8	30日禮包		30	1000	VND		Gold|400					DaysCard	2	version_vn	2		Recharge_10		30日禮包	
com.vng.jxm.item9	一本萬利		999999	2000	VND							GrowInvest	1	version_vn					$12.99成長基金	
com.vng.jxm.item16	65級一本萬利		999999	2000	VND							GrowInvest	2	version_vn					$12.99成長基金	
com.vng.jxm.item17	90級一本萬利		999999	2000	VND							GrowInvest	3	version_vn					$12.99成長基金	
com.vng.jxm.item75	一本萬利·盛夏		999999	2000	VND							GrowInvest	4	version_vn					14.99新年基金	
