nId	nHouse	nQuality	szQualityName	szName	nItem1Id	nItem2Id	nItem3Id	nRate1	nRate2	nRate3	szMoneyType	nPrice
1	7	2	2阶	T2武器(未鉴定）	1023	1613	1123	75	20	5	Contrib	1000
2	7	2	2阶	T2衣服(未鉴定）	1083	1661	1183	75	20	5	Contrib	600
3	7	3	3阶	T3武器(未鉴定）	1024	1614	1124	75	20	5	Contrib	2000
4	7	3	3阶	T3衣服(未鉴定）	1084	1662	1184	75	20	5	Contrib	1200
5	7	4	4阶	T4武器(未鉴定）	1025	1615	1125	75	20	5	Contrib	5000
6	7	4	4阶	T4衣服(未鉴定）	1085	1663	1185	75	20	5	Contrib	3000
7	7	5	5阶	T5武器(未鉴定）	1026	1616	1126	75	20	5	Contrib	12000
8	7	5	5阶	T5衣服(未鉴定）	1086	1664	1186	75	20	5	Contrib	7200
9	7	6	6阶	T6武器(未鉴定）	1027	1617	1127	75	20	5	Contrib	15000
10	7	6	6阶	T6衣服(未鉴定）	1087	1665	1187	75	20	5	Contrib	9000
11	7	7	7阶	T7武器(未鉴定）	1028	1618	1128	75	20	5	Contrib	20000
12	7	7	7阶	T7衣服(未鉴定）	1088	1666	1188	75	20	5	Contrib	12000
13	7	8	8阶	T8武器(未鉴定）	1029	1619	1129	75	20	5	Contrib	27000
14	7	8	8阶	T8衣服(未鉴定）	1089	1667	1189	75	20	5	Contrib	16200
15	7	9	9阶	T9武器(未鉴定）	1030	3647	1130	75	20	5	Contrib	36000
16	7	9	9阶	T9衣服(未鉴定）	1090	3659	1190	75	20	5	Contrib	21600
17	7	10	10阶	T10武器(未鉴定）	1031	3648	1131	75	20	5	Contrib	45000
18	7	10	10阶	T10衣服(未鉴定）	1091	3660	1191	75	20	5	Contrib	27000
19	7	11	11阶	T11武器(未鉴定）	5441	5661	5561	75	20	5	Contrib	56250
20	7	11	11阶	T11衣服(未鉴定）	5521	5721	5621	75	20	5	Contrib	33750
21	8	2	2阶	T2项链(未鉴定）	1033	1621	1133	75	20	5	Contrib	400
22	8	2	2阶	T2戒指(未鉴定）	1043	1629	1143	75	20	5	Contrib	400
23	8	2	2阶	T2玉佩(未鉴定）	1053	1637	1153	75	20	5	Contrib	400
24	8	2	2阶	T2护身符(未鉴定）	1063	1645	1163	75	20	5	Contrib	400
25	8	3	3阶	T3项链(未鉴定）	1034	1622	1134	75	20	5	Contrib	800
26	8	3	3阶	T3戒指(未鉴定）	1044	1630	1144	75	20	5	Contrib	800
27	8	3	3阶	T3玉佩(未鉴定）	1054	1638	1154	75	20	5	Contrib	800
28	8	3	3阶	T3护身符(未鉴定）	1064	1646	1164	75	20	5	Contrib	800
