SkillId	AttackType	AutoFightTarget	Desc	
310	2	0		
407	2	0		AttackType
410	3	0		1默認1為普通
412	2	0		2為強制方向
507	3	0		3為強制目標
510	2	0		
308	3	0		
609	3	0		AutoFightTarget
611	2	0		無目標技能在跟戰時是否需要選中目標
615	3	0		
708	2	0		
722	3	0		
816	3	0		
2118	3	0		
2119	2	0		
2128	2	0		
2130	3	0		
2132	2	0		
2143	3	0		
2147	2	0		
266	2	0		
2190	2	0		
806	2	0		
2983	2	0		
3409	2	0		
3418	2	0		
3422	2	0		
3423	3	0		
4010	2	0		
4106	2	0		
4110	2	0		
4112	3	0		
208	1	1	霸王怒吼	
513	1	1	風捲殘雲	
272	1	1	十二擒龍手	
312	1	1	天舞寶輪	
4334	3	0		
4512	3	0	清音長嘯	
