Faction	SkillId	Desc	GainLevel	IsBaseSkill	BtnName	IconAltlas	BtnIcon	SortInUI	IsAnger	LevelUpGroup
1	201	天王錘法	1	1	Attack	UI/Atlas/SkillIcon/TW_Skill.prefab	TianwangSkill_01	1		1
1	214	日月山河碎	1		Skill5	UI/Atlas/SkillIcon/TW_Skill.prefab	Tianwang_nq01		1	13
1	206	野蠻衝撞	1		Skill2	UI/Atlas/SkillIcon/TW_Skill.prefab	TianwangSkill_02	2		2
1	1013	打坐	9		BtnDazuo	UI/Atlas/SkillIcon/SkillIcon.prefab	Skill_Meditation			
1	1045	輕功	3		SkillDodge	UI/Atlas/SkillIcon/SkillIcon.prefab	Skill_Dodge			
1	210	血戰八方	4		Skill1	UI/Atlas/SkillIcon/TW_Skill.prefab	TianwangSkill_04	3		3
1	213	金鐘罩	10		Skill3	UI/Atlas/SkillIcon/TW_Skill.prefab	TianwangSkill_03	4		4
1	209	天王戰意	20			UI/Atlas/SkillIcon/TW_Skill.prefab	Tianwang_bd01	5		5
1	208	霸王怒吼	30		Skill4	UI/Atlas/SkillIcon/TW_Skill.prefab	TianwangSkill_05	6		6
1	224	一騎當千	40			UI/Atlas/SkillIcon/TW_Skill.prefab	Tianwang_bd07	7		7
1	229	高級錘法	50			UI/Atlas/SkillIcon/TW_Skill.prefab	Tianwang_bd05	8		8
1	240	驚雷破天	60			UI/Atlas/SkillIcon/TW_Skill.prefab	Tianwang_bd08	9		9
1	218	破釜沉舟	70			UI/Atlas/SkillIcon/TW_Skill.prefab	Tianwang_bd03	10		10
1	242	天王本生	80			UI/Atlas/SkillIcon/TW_Skill.prefab	Tianwang_bd04	11		11
1	246	氣蓋八荒	90			UI/Atlas/SkillIcon/TW_Skill.prefab	Tianwang_bd09	12		12
2	301	峨嵋劍訣	1	1	Attack	UI/Atlas/SkillIcon/EM_Skill.prefab	EmeiSkill_01	1		1
2	346	冰魄紅蓮劫	1		Skill5	UI/Atlas/SkillIcon/EM_Skill.prefab	Emei_nq01		1	13
2	310	江海凝波	1		Skill2	UI/Atlas/SkillIcon/EM_Skill.prefab	EmeiSkill_04	2		2
2	1013	打坐	9		BtnDazuo	UI/Atlas/SkillIcon/SkillIcon.prefab	Skill_Meditation			
2	1046	輕功	3		SkillDodge	UI/Atlas/SkillIcon/SkillIcon.prefab	Skill_Dodge			
2	312	天舞寶輪	4		Skill1	UI/Atlas/SkillIcon/EM_Skill.prefab	EmeiSkill_05	3		3
2	306	慈航普度	10		Skill3	UI/Atlas/SkillIcon/EM_Skill.prefab	EmeiSkill_02	4		4
2	309	劍心通明	20			UI/Atlas/SkillIcon/EM_Skill.prefab	Emei_bd01	5		5
2	308	白露凝霜	30		Skill4	UI/Atlas/SkillIcon/EM_Skill.prefab	EmeiSkill_03	6		6
2	345	冰心雲裳	40			UI/Atlas/SkillIcon/EM_Skill.prefab	Emei_bd07	7		7
2	323	劍法進階	50			UI/Atlas/SkillIcon/EM_Skill.prefab	Emei_bd05	8		8
2	341	佛心慈佑	60			UI/Atlas/SkillIcon/EM_Skill.prefab	Emei_bd02	9		9
2	317	綿裡藏針	70			UI/Atlas/SkillIcon/EM_Skill.prefab	Emei_bd06	10		10
2	343	佛法無邊	80			UI/Atlas/SkillIcon/EM_Skill.prefab	Emei_bd03	11		11
2	357	清心普善	90			UI/Atlas/SkillIcon/EM_Skill.prefab	Emei_bd08	12		12
3	401	桃花箭術	1	1	Attack	UI/Atlas/SkillIcon/TH_Skill.prefab	TaohuaSkill_01	1		1
3	427	落花焚星焱	1		Skill5	UI/Atlas/SkillIcon/TH_Skill.prefab	Taohua_nq01		1	13
3	407	飛火流星	1		Skill2	UI/Atlas/SkillIcon/TH_Skill.prefab	TaohuaSkill_03	2		2
3	1013	打坐	9		BtnDazuo	UI/Atlas/SkillIcon/SkillIcon.prefab	Skill_Meditation			
3	1047	輕功	3		SkillDodge	UI/Atlas/SkillIcon/SkillIcon.prefab	Skill_Dodge			
3	410	九曜連珠	4		Skill1	UI/Atlas/SkillIcon/TH_Skill.prefab	TaohuaSkill_04	3		3
3	406	火鳳燎原	10		Skill3	UI/Atlas/SkillIcon/TH_Skill.prefab	TaohuaSkill_02	4		4
3	409	流風回雪	20			UI/Atlas/SkillIcon/TH_Skill.prefab	Taohua_bd01	5		5
3	412	穿雲破月	30		Skill4	UI/Atlas/SkillIcon/TH_Skill.prefab	TaohuaSkill_05	6		6
3	443	逆轉九陰	40			UI/Atlas/SkillIcon/TH_Skill.prefab	Taohua_bd03	7		7
3	420	百步穿楊	50			UI/Atlas/SkillIcon/TH_Skill.prefab	Taohua_bd05	8		8
3	441	輕雲蔽月	60			UI/Atlas/SkillIcon/TH_Skill.prefab	Taohua_bd04	9		9
3	425	浴火重生	70			UI/Atlas/SkillIcon/TH_Skill.prefab	Taohua_bd07	10		10
