MissileId	MissileName	MoveKind	Speed	DmgRangeType	DmgRange	DmgInterval	LifeTime	IsDmgVanish	CanRepeatDmg	MissileResID	CollResID	DmgRangeSpeed	IsDrag	PosOffsetLenght	IsNoChangeDir	MissRate	CollSoundID	FlySoundID	VanishSoundID	ColFollowTarget	AcceSpeed	CollBrigth	CollBrigthFrame	IsIgnoreBarrier	AutoExplode	VanishResID	MissileHeight	HeightSpeed	EnemyResID	IsRepresent	IsChildInheritDir	MissileParam1	MissileParam2	MissileParam3	MissileParam1Des	MissileParam2Des	MissileParam3Des	IsChildInheritPowerAdd	IsNotHeightSpeed	InheritPos	IgnoreDmgRange
1		0	0	0	2		50	1			3024																														
2		2	40	0	2		30			4	3024																														
3		2	40	0	2		30			10	3024																														
4		0	0	0	2		50			11	3024																														
5		0	0	0	32		50			13																															
11		0	0	0	2		50			4	3024																														
12		0	0	0	32		50			11	3024																														
17	測試跳躍前搖後搖_子	0	0	0	32		50				3024																														
18	紅色預警_子2	0	0	1	11		2				3024																														
19	紅色預警	0	0	1	11		60			17																															
20	紅色預警_子1	0	0	1	11		60			18																															
21	NPC近身單體1	0	0	0	1		3				3021													1																	
22	NPC近身單體2_爪子	0	0	0	1		3				3022																														
23	NPC近身群體_小半月金	0	0	1	3		5				3021																														
24	NPC近身群體1_金	0	0	0	9		25			24				120																											
25	NPC近身群體1_水	0	0	0	9		25			25				120																											
26	NPC近身群體1_火	0	0	0	9		25			26				120																											
27	NPC近身群體1_木	0	0	0	9		25			27				120																											
28	身周群體1_金	0	0	1	20		25			18																															
29	身周群體2_水	0	0	1	20		25			1554																															
30	身周群體3_火	0	0	1	20		25			1808																															
31	身周群體4_木	0	0	1	20		25			2445																															
32	NPC遠端定點單體1_金	0	0	1	3		10			32	3024																														
33	NPC遠端定點單體1_水	0	0	1	3		10			33	3025																														
34	NPC遠端定點單體1_火	0	0	1	3		10			34	3026																														
35	NPC遠端定點單體1_木	0	0	1	3		10			35	3027																														
36	NPC遠程抛物線單體	1	50	0	1		15			36	3024																														
37	NPC遠端直線單體_水	1	90	0	5		6			37	3025										30																				
38	NPC遠端直線穿透_金	1	90	0	3		8			38	3024										10																				
39	NPC遠端直線穿透_水	1	90	0	3		8			39	3025										10																				
40	NPC遠端直線穿透_火	1	90	0	3		8			40	3026										10			1																	
41	NPC遠端直線穿透_木	1	90	0	3		8			41	3027										10																				
42	NPC遠端定點群體1_地	0	0	1	15		30			24																															
43	NPC遠端定點群體1_水	0	0	1	15		30			25																															
44	NPC遠端定點群體1_火	0	0	1	15		30			26																															
45	NPC遠端定點群體1_風	0	0	1	15		30			27																															
46	NPC遠程單控1_金	0	0	0	1		20				3024																														
47	NPC遠程單控1_水	0	0	0	1		20				3025																														
48	NPC遠程單控1_火	0	0	0	1		20				3026																														
49	NPC遠程單控1_木	0	0	0	1		20				3027																														
50	NPC遠程群控1_地	0	0	1	10		30			50																															
51	NPC遠程群控1_水	0	0	1	10		30			51																															
52	NPC遠程群控1_火	0	0	1	10		30			52																															
53	NPC遠程群控1_風	0	0	1	10		30			53																															
54	NPC遠端直線光球_金	1	60	0	3		11	1		54	3024										5																				
55	NPC遠端直線光球_水	1	60	0	3		11	1		55	3025										5																				
56	NPC遠端直線光球_火	1	60	0	3		11	1		56	3026			50							5																				
57	NPC遠端直線光球_木	1	60	0	3		11	1		57	3027										5																				
59	NPC近身群體1_風	0	0	0	9		25			6059				120																											
60	NPC近身群體1_風傷害	0	0	0	9		3				3059			120																											
61	身周群體傷害5_土	0	0	1	20		25			4375																															
62	身周群體傷害5_土傷害	0	0	1	20		3				3059																														
63	NPC遠端定點群體1_土	0	0	1	15		30			1375																															
64	NPC遠端定點群體1_土傷害	0	0	1	15		3				3059																														
65	NPC遠程單控1_土	0	0	0	1		20			1375	3059																														
66	NPC遠程群控1_土	0	0	1	10		30			4375																															
67	NPC遠程群控1_土傷害	0	0	1	10		3				3024																														
68	NPC遠端定點單體1_土	0	0	1	3		10			3068	3025																														
69	NPC遠端直線穿透_土	1	90	0	3		8			69	3025									10																					
70	NPC近身群體1_金傷害	0	0	0	9		3				3024			120																											
71	NPC近身群體1_水傷害	0	0	0	9		3				3025			120																											
72	NPC近身群體1_火傷害	0	0	0	9		3				3026			120																											
73	NPC近身群體1_木傷害	0	0	0	9		3				3027			120																											
74	NPC近身群體2_地傷害	0	0	1	20		3				3024																														
75	NPC近身群體2_水傷害	0	0	1	20		3				3025																														
76	NPC近身群體2_火傷害	0	0	1	20		3				3026																														
77	NPC近身群體2_風傷害	0	0	1	20		3				3027																														
78	NPC遠端定點群體1_地傷害	0	0	1	15		3				3024																														
79	NPC遠端定點群體1_水傷害	0	0	1	15		3				3025																														
80	NPC遠端定點群體1_火傷害	0	0	1	15		3				3026																														
81	NPC遠端定點群體1_風傷害	0	0	1	15		3				3027																														
86	NPC遠程群控1_地傷害	0	0	1	10		3				3024																														
87	NPC遠程群控1_水傷害	0	0	1	10		3				3025																														
88	NPC遠程群控1_火傷害	0	0	1	10		3				3026																														
89	NPC遠程群控1_風傷害	0	0	1	10		3				3027																														
90	骷髏王刀光	0	0	0	18		5				3026			250			15090					1000	3	1																	
92	骷髏王衝擊波	1	100	0	8		30				3026			100										1																	
93	骷髏王絞殺	0	0	1	34		45			92				0																											
94	骷髏王絞殺_子	0	0	1	34		3				3026			0																											
95	通用紅色預警_半徑圓4.5米	0	0	1	34		38			95														1																	
96	通用紅色預警_矩形8*4.5米	0	0	0	11		30			96														1																	
97	通用紅色預警_扇形90度3米	0	0	0	11		30			97														1																	
101	測試擊飛	0	0	0	8		3				3024			100								1000	3																		
102	測試特殊死亡冰凍	0	0	0	8		3				3024			100								1000	3																		
103	骷髏王衝擊波_效果	0	0	0	8	15	30			92				100										1																	
106	NPC遠端直線光球_土	1	60	0	3		11	1		106	3024										5																				
110	刀擊	0	0	0	8		3				3024			100						1		1000	3	1																	
111	蠻橫霸道_傷害	1	140	0	12		6				3027			110										0																	
112	蠻橫霸道_效果	0	0	0	6		30			18				0										1																	
113	神力	0	0	0	20		5				3027											1000	3																		
115	萬象天引	0	0	0	30		3	1																																	
116	萬象天引_子	0	0	0	30		2	1			3024											1000	3																		
117	劍擊	0	0	0	14		3				3024			150								1000	3	1																	
118	金蛇擒鶴拳	0	0	0	30		3	1																																	
119	狂劍訣	0		0	6		4			119				500										1																	
120	狂劍訣_子1	1	100	0	6		5			119				-500							10			1																	
121	狂劍訣_子2	0	0	0	28		3				3024													1																	
122	金蛇劍法	0	0	0	14		20			122				250										1																	
123	金蛇劍法_子1	0	0	0	14		20			123				250										1																	
124	金蛇劍法_子2	0	0	0	14		20			124				250										1																	
126	神行百變_子1	1	120	0	8		6			126														1																	
127	神行百變_子2	0	0	0	0		25			6508																															
