SkillId	SkillName	Property	SkillType	MeleeForm	StartPosType	Icon	IconAtlas	WaitTime	ChildID	MissileForm	ChildCount	MSGenerate	MSGenerateParam	FlySkillId	FlyEventInterval	FlyActEventId	FlyActId	Relation	TimePerCast	IsUseAR	Series	CastActionId	ActionEventID	ActionFrontPer	ActionBackPer	StateEffectId	SkillStyle	StatePriority	StateType	StateTime	StartSkillID	HitSkillID	VanishedSkillId	EventSkillLevel	AttackRadius	ClassName	MaxUsePoint	UsePointRecover	Param1	Param1Des	Param2	Param2Des	Param3	Param3Des	Param4	Param4Des	Param5	Param5Des	Param6	Param6Des	CostType	CostValue	FactionLimit	ReqLevel	IsLinkSubSkill	IsAura	Desc	SelectorRange	SelectorType	CollisionSkillId	TargetSelf	DeathActEventID	AttackAnger	CastSoundID	AcceSpeedInfo1	AcceSpeedInfo2	AcceSpeedInfo3	InitSpeed	CastEffectRestId	IsMelee	NotChangeActFrame	NotChangeDir	CanDoSkillPri	UseLimitType	IgnoreObstacleJump	IsActPerFrame	IsPeaceCanUse	IsNotJumpObstacle	IsIgnoreInvincible
1	測試_必殺技單體		5		1	SkillUsual			1		1							enemy	0			16	1				attack_wood			0					1000	test_npc																																											
2	測試_必殺技群體		5		1	SkillUsual			1		1							enemy	0			16	1				attack_wood			0					1000	test_mustkill																																											
3	測試_必殺技自殺		5		2	SkillUsual			1		1							self	0			16	1				attack_wood			0					1000	test_mustkill																																											
4	測試_全能&無敵		2			SkillUsual												self	0			16	1							0						test3																																											
5	測試_回血		2			SkillUsual												self	0			16	1							0						test_recoverlife																																											
6	測試_隱身		3			SkillUsual												self	0			16	1							0						test3																																											
7	天王輕功		1	1		SkillUsual													0			29	7	0	0.2					0					1600	empty			30	向上的初始速度	800		800																						-1|20|90			70											
8	峨嵋輕功		1	1		SkillUsual													0			29	8	0	0.2					0					1600	empty			30	向上的初始速度	800		800																						-1|20|90			70											
9	桃花輕功		1	1		SkillUsual													0			29	9	0	0.2					0					1600	empty			30	向上的初始速度	800		800																						-1|20|90			70											
10	逍遙輕功		1	1		SkillUsual													0			29	10	0	0.2					0					1600	empty			30	向上的初始速度	800		800																						-1|20|90			70											
11	天王過場輕功		1	1		SkillUsual													0			6	11	0	0					0					1600	empty			30	向上的初始速度																												45											
12	峨嵋過場輕功		1	1		SkillUsual													0			6	12	0	0					0					1600	empty			20	向上的初始速度																												60											
13	桃花過場輕功		1	1		SkillUsual													0			6	13	0	0					0					1600	empty			20	向上的初始速度																												60											
14	逍遙過場輕功		1	1		SkillUsual													0			6	14	0	0					0					1600	empty			20	向上的初始速度																												60											
15	輕功落地通用		1	5		SkillUsual													0			30	15							0					1600	empty																																			1	1							
16	測試跳躍前搖後搖		1	2		SkillUsual			17									enemy	0			21	16	15	15		attack_earth			0					700	test1			70																													10											
17	測試跳躍前搖後搖_子		5		1	SkillUsual			17		1							enemy	0			16	17				attack_earth			0					750	tw_ymcz_child																																											
18	紅色預警_子2		5		1	SkillUsual			18		1							enemy	30			16	18				attack_earth			0					600	npc_normal																																											
19	紅色預警		5		1	SkillUsual			19		1							enemy	30			16	19				attack_earth			0					600	empty																																											
20	紅色預警_子1		5		1	SkillUsual			20		1							enemy	30			16	20				attack_earth			0					600	empty																																											
21	NPC近身單體_金	技能通用	5		1	SkillUsual			21		1							enemy	30	1		16	21				attack_normal			0					150	npc_normal																																											
22	NPC近身單體2_爪子	技能通用	5		1	SkillUsual			22		1							enemy	30	1		16	22				attack_normal			0					200	npc_normal																																											
23	NPC近身群體_小半月金	技能通用	5		1	SkillUsual			23		1							enemy	30	1		16	23				attack_normal			0					200	npc_normal																																	23										
24	NPC近身群體1_金	技能通用	5		2	SkillUsual			24		1							enemy	60	1		16	6005				attack_earth			0	70			-1	150	empty																																											
25	NPC近身群體1_水	技能通用	5		2	SkillUsual			25		1							enemy	60	1		16	6005				attack_water			0	71			-1	150	empty																																											
26	NPC近身群體1_火	技能通用	5		2	SkillUsual			26		1							enemy	60	1		16	6005				attack_fire			0	72			-1	150	empty																																											
27	NPC近身群體1_木	技能通用	5		2	SkillUsual			27		1							enemy	60	1		16	6005				attack_wood			0	73			-1	150	empty																																											
28	身周群體1_金	技能通用	5		2	SkillUsual			28		1							enemy	75	1		16	6005				attack_earth			0	74			-1	250	empty																																											
29	身周群體2_水	技能通用	5		2	SkillUsual			29		1							enemy	75	1		16	6005				attack_water			0	75			-1	250	empty																																											
30	身周群體3_火	技能通用	5		2	SkillUsual			30		1							enemy	75	1		16	6005				attack_fire			0	76			-1	250	empty																																											
31	身周群體4_木	技能通用	5		2	SkillUsual			31		1							enemy	75	1		16	6005				attack_wood			0	77			-1	250	empty																																											
32	NPC遠端定點單體1_金	技能通用	5		1	SkillUsual			32		1							enemy	30	1		16	6005				attack_gold			0					750	npc_normal																																	6032										
33	NPC遠端定點單體1_水	技能通用	5		1	SkillUsual			33		1							enemy	30	1		16	6005				attack_water			0					750	npc_normal																																	6033										
34	NPC遠端定點單體1_火	技能通用	5		1	SkillUsual			34		1							enemy	30	1		16	6005				attack_fire			0					750	npc_normal																																	6034										
35	NPC遠端定點單體1_木	技能通用	5		1	SkillUsual			35		1							enemy	30	1		16	6005				attack_wood			0					750	npc_normal																																	6035										
36	NPC遠程抛物線單體	技能通用	5		2	SkillUsual			36		1							enemy	30	1		16	1				attack_normal			0					600	npc_normal																																											
37	NPC遠端直線單體_水	技能通用	5		2	SkillUsual			37		1							enemy	30	1		16	6005				attack_normal			0					750	npc_normal																																											
38	NPC遠端直線穿透_金	技能通用	5		2	SkillUsual			38		1							enemy	30	1		16	6004				attack_gold			0					750	npc_normal																																											
39	NPC遠端直線穿透_水	技能通用	5		2	SkillUsual			39		1							enemy	30	1		16	6004				attack_water			0					750	npc_normal																																											
40	NPC遠端直線穿透_火	技能通用	5		2	SkillUsual			40		1							enemy	30	1		16	6004				attack_fire			0					750	npc_normal																																											
41	NPC遠端直線穿透_木	技能通用	5		2	SkillUsual			41		1							enemy	30	1		16	6004				attack_wood			0					750	npc_normal																												5041															
42	NPC遠端定點群體1_地	技能通用	5		1	SkillUsual			42		1							enemy	60	1		16	6005				attack_earth			0	78			-1	750	empty																																											
43	NPC遠端定點群體1_水	技能通用	5		1	SkillUsual			43		1							enemy	60	1		16	6005				attack_water			0	79			-1	750	empty																																											
44	NPC遠端定點群體1_火	技能通用	5		1	SkillUsual			44		1							enemy	60	1		16	6005				attack_fire			0	80			-1	750	empty																																											
45	NPC遠端定點群體1_風	技能通用	5		1	SkillUsual			45		1							enemy	60	1		16	6005				attack_wood			0	81			-1	750	empty																																											
46	NPC遠程單控1_金	技能通用	5		1	SkillUsual			46		1							enemy	90	1		16	6005				control			0					750	npc_control_gold1																																	6032										
47	NPC遠程單控1_水	技能通用	5		1	SkillUsual			47		1							enemy	90	1		16	6005				control			0					750	npc_control_water1																																	6033										
48	NPC遠程單控1_火	技能通用	5		1	SkillUsual			48		1							enemy	90	1		16	6005				control			0					750	npc_control_fire1																																	6034										
49	NPC遠程單控1_木	技能通用	5		1	SkillUsual			49		1							enemy	90	1		16	6005				control			0					750	npc_control_wood1																																	6035										
50	NPC遠程群控1_金	技能通用	5		1	SkillUsual			50		1							enemy	90	1		16	6005				control			0	86			-1	750	empty																																											
51	NPC遠程群控1_水	技能通用	5		1	SkillUsual			51		1							enemy	90	1		16	6005				control			0	87			-1	750	empty																																											
52	NPC遠程群控1_火	技能通用	5		1	SkillUsual			52		1							enemy	90	1		16	6005				control			0	88			-1	750	empty																																											
53	NPC遠程群控1_木	技能通用	5		1	SkillUsual			53		1							enemy	90	1		16	6005				control			0	89			-1	750	empty																																											
54	NPC遠端直線光球_金	技能通用	5		2	SkillUsual			54		1							enemy	30	1		16	6005				attack_earth			0					750	npc_normal_gold1																																											
55	NPC遠端直線光球_水	技能通用	5		2	SkillUsual			55		1							enemy	30	1		16	6005				attack_water			0					750	npc_normal_water1																																											
56	NPC遠端直線光球_火	技能通用	5		2	SkillUsual			56		1							enemy	30	1		16	6005				attack_fire			0					750	npc_normal_fire1																																											
57	NPC遠端直線光球_木	技能通用	5		2	SkillUsual			57		1							enemy	30	1		16	6005				attack_wood			0					750	npc_normal_wood1																																											
58	測試_強力	測試用	2			SkillUsual												self	0			16	1							0						test_strong																																											
59	NPC近身群體1_土	技能通用	5		2	SkillUsual			59		1							enemy	60	1		16	6005				attack_earth			0	60			-1	150	empty																																		1									
60	NPC近身群體1_土傷害	技能通用	5		2	SkillUsual			60		1							enemy	30	1		16	6005				attack_earth			0					150	npc_normal_heavy																																		1									
61	身周群體傷害5_土	技能通用	5		2	SkillUsual			61		1							enemy	75	1		16	6005				attack_earth			0	62			-1	250	empty																																		1									
62	身周群體傷害5_土傷害	技能通用	5		2	SkillUsual			62		1							enemy	30	1		16	6005				attack_earth			0					250	npc_sp_earth																																		1									
63	NPC遠端定點群體1_土	技能通用	5		1	SkillUsual			63		1							enemy	60	1		16	6005				attack_earth			0	64			-1	750	empty																																											
64	NPC遠端定點群體1_土傷害	技能通用	5		1	SkillUsual			64		1							enemy	30	1		16	6005				attack_earth			0					750	npc_normal_heavy																																											
65	NPC遠程單控1_土	技能通用	5		1	SkillUsual			65		1							enemy	90	1		16	6005				control			0					750	npc_control_earth1																																	6032										
66	NPC遠程群控1_土	技能通用	5		1	SkillUsual			66		1							enemy	90	1		16	6005				control			0	67			-1	750	empty																																											
67	NPC遠程群控1_土傷害	技能通用	5		1	SkillUsual			67		1							enemy	90	1		16	6005				control			0					750	npc_control_earth2																																											
68	NPC遠端定點單體1_土	技能通用	5		1	SkillUsual			68		1							enemy	30	1		16	6005				attack_earth			0					750	npc_normal																																	6033										
69	NPC遠端直線穿透_土	技能通用	5		2	SkillUsual			69		1							enemy	30	1		16	6004				attack_earth			0					750	npc_normal																																											
70	NPC近身群體1_金傷害	技能通用	5		2	SkillUsual			70		1							enemy	30	1		16	6005				attack_earth			0					150	npc_normal_heavy																																		1									
71	NPC近身群體1_水傷害	技能通用	5		2	SkillUsual			71		1							enemy	30	1		16	6005				attack_water			0					150	npc_normal_heavy																																		1									
72	NPC近身群體1_火傷害	技能通用	5		2	SkillUsual			72		1							enemy	30	1		16	6005				attack_fire			0					150	npc_normal_heavy																																		1									
73	NPC近身群體1_木傷害	技能通用	5		2	SkillUsual			73		1							enemy	30	1		16	6005				attack_wood			0					150	npc_normal_heavy																																		1									
74	身周群體傷害1_金	技能通用	5		2	SkillUsual			74		1							enemy	30	1		16	6005				attack_earth			0					250	npc_sp_gold																																		1									
75	身周群體傷害2_水	技能通用	5		2	SkillUsual			75		1							enemy	30	1		16	6005				attack_water			0					250	npc_sp_water																																		1									
76	身周群體傷害3_火	技能通用	5		2	SkillUsual			76		1							enemy	30	1		16	6005				attack_fire			0					250	npc_sp_fire																																		1									
77	身周群體傷害4_木	技能通用	5		2	SkillUsual			77		1							enemy	30	1		16	6005				attack_wood			0					250	npc_sp_wood																																		1									
78	NPC遠端定點群體1_地傷害	技能通用	5		1	SkillUsual			78		1							enemy	30	1		16	6005				attack_earth			0					750	npc_normal_heavy																																											
79	NPC遠端定點群體1_水傷害	技能通用	5		1	SkillUsual			79		1							enemy	30	1		16	6005				attack_water			0					750	npc_normal_heavy																																											
80	NPC遠端定點群體1_火傷害	技能通用	5		1	SkillUsual			80		1							enemy	30	1		16	6005				attack_fire			0					750	npc_normal_heavy																																											
81	NPC遠端定點群體1_風傷害	技能通用	5		1	SkillUsual			81		1							enemy	30	1		16	6005				attack_wood			0					750	npc_normal_heavy																																											
86	NPC遠程群控1_金傷害	技能通用	5		1	SkillUsual			86		1							enemy	90	1		16	6005				control			0					750	npc_control_gold2																																											
87	NPC遠程群控1_水傷害	技能通用	5		1	SkillUsual			87		1							enemy	90	1		16	6005				control			0					750	npc_control_water2																																											
88	NPC遠程群控1_火傷害	技能通用	5		1	SkillUsual			88		1							enemy	90	1		16	6005				control			0					750	npc_control_fire2																																											
89	NPC遠程群控1_木傷害	技能通用	5		1	SkillUsual			89		1							enemy	90	1		16	6005				control			0					750	npc_control_wood2																																											
90	骷髏王刀光		5		2	SkillUsual			90		1							enemy	45	1		16	90				attack_normal			0					400	room1_1																												5090						1									
91	NPC免疫效果		3			SkillUsual												self	0			1	1				pass			0						npc_mianyi																																											
92	骷髏王衝擊波		5		2	TaohuaSkill_03		15	92	1	1							enemy	0	1		16	92				attack_normal			0	103			-1	450	room1_4																												5092						1									
93	骷髏王絞殺		5		2	TaohuaSkill_03			93	3	9							enemy	0	1		18	93				attack_normal			0					450	empty																												5093						1									
94	骷髏王絞殺_子		5		2	TaohuaSkill_03			94		1							enemy	0	1		16	1				attack_normal			0					450	room1_2																																		1									
95	通用紅色預警_半徑圓4.5米		5		2	SkillUsual			95		1							enemy	30			1	95				attack_earth			0	100			-1	450	empty																																											
96	通用紅色預警_矩形8*4.5米		5		2	SkillUsual			96		1							enemy	30			1	96				attack_earth			0	100			-1	300	empty																																											
97	通用紅色預警_扇形90度		5		2	SkillUsual			97		1							enemy	30			1	97				attack_earth			0	100			-1	300	empty																																											
98	骷髏王預警_半徑圓4.5米		1	5		SkillUsual												enemy	30			1	98				attack_earth			0	100			-1	450	empty																																											
99	骷髏王紅色預警_矩形8*2米		1	5		SkillUsual												enemy	30			1	99				attack_earth			0	100			-1	300	empty																																											
100	NPC預警免疫效果2.5秒	技能通用	2			SkillUsual												self	0			1	1				pass			0					500	npc_yujingmianyi																																											
101	測試擊飛		5		2	TianwangSkill_01			101		1							enemy	0			16	101							0					200	test_mustkill																										80002																	
102	測試特殊死亡冰凍		5		2	TianwangSkill_01			102		1							enemy	0			16	102							0					200	test_mustkill																										80003																	
103	骷髏王衝擊波_效果		5		2	TaohuaSkill_03			103	1	5	2	3					enemy	0	1		16	1				attack_normal			0					450	empty			100		100																																						
104	測試buff	回血、偷血、反彈	2			SkillUsual												self	0			16	1							0						test_buff																																											
105	100%被擊中		3			SkillUsual												self	0			1	1				pass			0						npc_100beiji																																											
106	NPC遠端直線光球_土	技能通用	5		2	SkillUsual			106		1							enemy	30	1		16	6005				attack_earth			0					750	npc_normal_earth1																																											
109	蠻橫霸道	歷代名將	1	2		SkillUsual		6										enemy	0	1		2	109				attack_normal			0					600	empty			1	動作最少幀		到目標點的距離	800	衝刺的長度										1							1	80002						200		1	1								
110	刀擊	歷代名將	5		2	SkillUsual			110		1							enemy	30	1		16	110				npc_attack_earth			0					200	npc_20boss1_1																		1																1									
111	蠻橫霸道_傷害	歷代名將	5		2	SkillUsual			111		1							enemy	0	1		16	111				attack_normal			0					600	npc_20boss1_2_child																		1																1									
112	蠻橫霸道_效果	歷代名將	5		2	SkillUsual			112	1	4	2	1					enemy	0	1		16	1				attack_normal			0					600	empty			200															1																1									
113	神力	歷代名將	5		2	SkillUsual			113		1							enemy	0	1		17	113				npc_attack_earth			0					1000	npc_20boss1_3																		1																1									
114	鋼之鎧甲	歷代名將	2			SkillUsual												self	0			17	114			114	buff_attack			0					1000	npc_20boss1_4																		1																									
115	萬象天引	歷代名將	5		2	SkillUsual			115		1							enemy	0	1		17	115				npc_attack_earth			0					450	npc_20boss1_5																		1							1									1									
116	萬象天引_子	歷代名將	5		2	SkillUsual			116		1							enemy	0	1		17	116				npc_attack_earth			0					450	npc_20boss1_5_child																		1							1									1									
117	劍擊	歷代名將	5		2	SkillUsual			117		1							enemy	30	1		16	117				attack_normal			0					300	npc_20boss2_1																		1																1									
118	金蛇擒鶴拳	歷代名將	5		2	SkillUsual			118		1							enemy	0	1		17	118				attack_normal			0					450	npc_20boss2_2																		1							1									1									
119	狂劍訣	歷代名將	5		2	SkillUsual		3	119	3	8							enemy	0	1		17	119				attack_normal			0	120				700	empty					1													1																1									
120	狂劍訣_子1	歷代名將	5		2	SkillUsual		8	120	3	8							enemy	0	1		16	120				attack_normal			0	121				700	empty					1													1																1									
