SkillId		MagicDesc
201	天王錘法	對目標造成[00ff00]attack_usebasedamage_p1%[-]基礎攻擊 + [00ff00]attack_metaldamage_v1[-]點金系傷害
206	野蠻衝撞	對砸中的目標，造成 [00ff00]attack_usebasedamage_p1%[-]基礎攻擊 + [00ff00]attack_metaldamage_v1[-]點金系傷害，附帶[00ff00]state_fixed_attack2/15[-]秒的定身效果
213	金鐘罩	增加[00ff00]all_series_resist_v1[-]點全系抗性、[00ff00]all_series_resist_p1%[-]基礎全系抗性與抗屬性效果機率[00ff00]resist_allseriesstate_rate_v1[-]點，同時每隔[00ff00]recover_life_v2/15[-]秒，回復[00ff00]recover_life_v1[-]點當前生命，持續[00ff00]skill_statetime1/15[-]秒
210	血戰八方	對擊中的目標，造成[00ff00]attack_usebasedamage_p1%[-]基礎攻擊 + [00ff00]attack_metaldamage_v1[-]點金系傷害
209	天王戰意	永久提升[00ff00]lifemax_p1%[-]基礎生命上限，[00ff00]physics_potentialdamage_p1%[-]基礎攻擊力與[00ff00]state_zhican_resistrate1[-]點抗致纏幾率
208	霸王怒吼	對周圍命中的目標，造成[00ff00]attack_usebasedamage_p1%[-]基礎攻擊 + [00ff00]attack_metaldamage_v1[-]點金系傷害
224	一騎當千	周圍每多一個敵人，自動提升[00ff00]all_series_resist_p1%[-]基礎全系抗性，最多疊加[00ff00]add_mult_proc_sate12[-]倍
229	錘法進階	提升[天王錘法][00ff00]attack_usebasedamage_p1%[-]基礎攻擊 + [00ff00]attack_metaldamage_v1[-]點金系傷害
240	驚雷破天	普通攻擊每次命中獲得[00ff00]physics_potentialdamage_p1%[-]基礎攻擊力加成，最多疊加[00ff00]superposemagic1[-]倍
218	破釜沉舟	有[00ff00]userdesc_1011%[-]機率觸發無敵與每[00ff00]recover_life_p2/15[-]秒回復生命[00ff00]recover_life_p1[-]%，持續[00ff00]skill_statetime1/15[-]秒，觸發間隔[00ff00]userdesc_1021/15[-]秒
242	天王本生	永久提升[00ff00]lifemax_p1%[-]基礎生命上限、[00ff00]physics_potentialdamage_p1%[-]基礎攻擊力、[00ff00]attackspeed_v1[-]點攻擊速度與[00ff00]state_hurt_attackrate1[-]點受傷幾率
216	野蠻衝撞	提高[00ff00]attackspeed_v1[-]點攻擊速度，[00ff00]deadlystrike_p1%[-]基礎會心機率，[00ff00]deadlystrike_v1[-]點會心一擊，持續[00ff00]skill_statetime1/15[-]秒
222	血戰八方	提高[00ff00]userdesc_1011%[-]基礎攻擊 + [00ff00]userdesc_1021[-]點金系傷害
220	霸王怒吼	化解傷害[00ff00]defuse_damage1[-]點，不超過原傷害[00ff00]defuse_damage2%[-]；最高疊加[00ff00]superposemagic1[-]層，持續[00ff00]skill_statetime1/15[-]秒
243	中級·血戰八方	提高[00ff00]userdesc_1011%[-]基礎攻擊 + [00ff00]userdesc_1021[-]點金系傷害。提升該技能[00ff00]userdesc_1032%[-]基礎忽閃、[00ff00]userdesc_1042[-]點會心一擊
244	中級·霸王怒吼	提高[00ff00]userdesc_1012[-]%基礎攻擊。化解傷害[00ff00]defuse_damage1[-]點，不超過原傷害[00ff00]defuse_damage2%[-]；最高疊加[00ff00]superposemagic1[-]層，持續[00ff00]skill_statetime1/15[-]秒
246	氣蓋八荒	提升自己[00ff00]lifemax_v1[-]點生命上限，提升隊友[00ff00]userdesc_1021[-]點生命上限
253	金鐘罩	增加[00ff00]all_series_resist_v1[-]點全系抗性、[00ff00]all_series_resist_p1%[-]基礎全系抗性
255	中級·金鐘罩	增加[00ff00]all_series_resist_v1[-]點全系抗性、[00ff00]all_series_resist_p1%[-]基礎全系抗性，增加持續時間[00ff00]userdesc_1012/15[-]秒
257	中級·野蠻衝撞	提高[00ff00]userdesc_1012[-]%基礎攻擊。命中目標後提高[00ff00]attackspeed_v1[-]點攻擊速度，[00ff00]deadlystrike_p1%[-]基礎會心機率，[00ff00]deadlystrike_v1[-]點會心一擊，持續[00ff00]skill_statetime1/15[-]秒
261	少林棍法	對目標造成[00ff00]attack_usebasedamage_p1%[-]基礎攻擊 + [00ff00]attack_metaldamage_v1[-]點金系傷害
266	降龍棍	對身前直線範圍目標造成[00ff00]attack_usebasedamage_p1%[-]基礎攻擊 + [00ff00]attack_metaldamage_v1[-]點金系傷害，同時有[00ff00]state_hurt_attack1%[-]機率附帶[00ff00]state_hurt_attack2/15[-]秒受傷
268	大力金剛指	對目標造成[00ff00]attack_usebasedamage_p1%[-]基礎攻擊 + [00ff00]attack_metaldamage_v1[-]點金系傷害，附帶[00ff00]state_fixed_attack2/15[-]秒的定身效果
270	金剛伏魔	免疫異常狀態並化解傷害[00ff00]defuse_damage1[-]點，不超過原傷害[00ff00]defuse_damage2%[-]，持續[00ff00]skill_statetime1/15[-]秒
271	達摩武經	永久提升[00ff00]lifemax_p1%[-]基礎生命上限，[00ff00]resist_allseriesstate_rate_v1[-]點抗屬性效果幾率與[00ff00]state_zhican_resistrate1[-]點抗致纏幾率
272	十二擒龍手	造成[00ff00]attack_usebasedamage_p1%[-]基礎攻擊 + [00ff00]attack_metaldamage_v1[-]點金系傷害，附帶[00ff00]state_fixed_attack2/15[-]秒的定身效果
273	羅漢陣	對自身周圍目標造成[00ff00]attack_usebasedamage_p1%[-]基礎攻擊 + [00ff00]attack_metaldamage_v1[-]點金系傷害
276	棍法進階	提升[少林棍法][00ff00]attack_usebasedamage_p1%[-]基礎攻擊 + [00ff00]attack_metaldamage_v1[-]點金系傷害
278	立地成佛	每次被普攻命中獲得[00ff00]all_series_resist_p1%[-]基礎全系抗性，最多疊加[00ff00]superposemagic1[-]層，持續[00ff00]userdesc_1011/15[-]秒
280	金剛怒目	有[00ff00]userdesc_1011%[-]機率觸發，提高自身[00ff00]all_series_resist_p1%[-]基礎全系抗性，提高[羅漢陣][00ff00]add_usebasedmg_p12%[-]基礎攻擊，持續[00ff00]skill_statetime1/15[-]秒，觸發間隔[00ff00]userdesc_1021/15[-]秒
282	易筋經	永久提升[00ff00]lifemax_p1%[-]基礎生命上限、[00ff00]physics_potentialdamage_p1%[-]基礎攻擊力、[00ff00]attackspeed_v1[-]點攻擊速度與[00ff00]state_hurt_attackrate1[-]點受傷幾率
292	降龍棍	增加降龍棍[00ff00]userdesc_1012[-]點會心一擊，提高[00ff00]userdesc_1022%[-]造成受傷的機率
293	大力金剛指	穿透攻擊多[00ff00]userdesc_1012[-]名敵人，並對穿透目標提高[00ff00]addpowerwhencol2%[-]基礎攻擊。增加[00ff00]userdesc_1022%[-]造成受傷的機率，持續[00ff00]userdesc_1032/15[-]秒
294	金剛伏魔	提高金剛伏魔化解傷害[00ff00]defuse_damage1[-]點並每[00ff00]recover_life_v2/15[-]秒回復[00ff00]recover_life_v1[-]點生命值
296	十二擒龍手	[00ff00]state_forceatk_attack1%[-]機率嘲諷敵人[00ff00]state_forceatk_attack2/15[-]秒。
298	羅漢金身	受到攻擊時，有[00ff00]state_fixed_attack1%[-]幾率對攻擊者造成[00ff00]state_fixed_attack2/15[-]秒定身效果，觸發間隔[00ff00]userdesc_1011/15[-]秒
301	峨嵋劍法	對目標造成[00ff00]attack_usebasedamage_p1%[-]基礎攻擊 + [00ff00]attack_waterdamage_v1[-]點水系傷害
310	江海凝波	對目標造成[00ff00]attack_usebasedamage_p1%[-]基礎攻擊 + [00ff00]attack_waterdamage_v1[-]點水系傷害，同時有[00ff00]state_slowall_attack1[-]機率附帶[00ff00]state_slowall_attack2/15[-]秒的遲緩效果
308	白露凝霜	對目標造成[00ff00]attack_usebasedamage_p1%[-]基礎攻擊 + [00ff00]attack_waterdamage_v1[-]點水系傷害
306	慈航普度	每隔[00ff00]vitality_recover_life2/15[-]秒，回復[00ff00]體質*vitality_recover_life1%[-]點當前生命，持續[00ff00]skill_statetime1/15[-]秒
309	劍心通明	永久提升自己[00ff00]lifemax_p1%[-]基礎生命上限，[00ff00]physics_potentialdamage_p1%[-]基礎攻擊力，[00ff00]runspeed_v1[-]移動速度
312	天舞寶輪	對陣內敵人，每[00ff00]0.5[-]秒，造成[00ff00]attack_usebasedamage_p1%[-]基礎攻擊 + [00ff00]attack_waterdamage_v1[-]點水系傷害；並對陣內的友方，每[00ff00]1[-]秒，回復[00ff00]體質*vitality_recover_life1%[-]點生命。陣法持續[00ff00]6[-]秒
317	綿裡藏針	[00ff00]userdesc_1011%[-]機率觸發擊退效果並每[00ff00]recover_life_p2/15[-]秒回復自己[00ff00]recover_life_p1%[-]生命，持續[00ff00]skill_statetime1/15[-]秒，觸發間隔[00ff00]userdesc_1021/15[-]秒
323	劍法進階	提升[峨嵋劍法][00ff00]attack_usebasedamage_p1%[-]基礎攻擊 + [00ff00]attack_waterdamage_v1[-]點水系傷害
341	佛心慈佑	提升自己與隊友[00ff00]resist_allseriesstate_rate_v1[-]點抗屬性效果機率、[00ff00]resist_allseriesstate_time_v1[-]點抗屬性效果時間、[00ff00]resist_allspecialstate_rate_v1[-]點抗負面效果機率與[00ff00]resist_allspecialstate_time_v1[-]點抗負面效果時間
343	佛法無邊	永久提升[00ff00]lifemax_p1%[-]基礎生命上限、[00ff00]physics_potentialdamage_p1%[-]基礎攻擊力、[00ff00]attackspeed_v1[-]點攻擊速度與[00ff00]state_slowall_attackrate1[-]點遲緩幾率
345	冰心雲裳	永久提升自己[00ff00]weaken_deadlystrike_v1[-]點抗會心機率和[00ff00]weaken_deadlystrike_damage_p1%[-]會心免傷
325	天舞寶輪	[00ff00]userdesc_1011%[-]機率造成虛弱、混亂、沉默、遲緩或冰凍，持續[00ff00]userdesc_1012/15[-]秒。
314	慈航普渡	清除與免疫屬性狀態，持續[00ff00]skill_statetime1/15[-]秒。
320	白露凝霜	[00ff00]attack_usebasedamage_p1%[-]基礎攻擊 + [00ff00]attack_waterdamage_v1[-]點水系傷害，同時有[00ff00]state_slowall_attack1%[-]機率附帶[00ff00]state_slowall_attack2/15[-]秒的遲緩效果
357	清心普善	提升自身[00ff00]lifereplenish_p1%[-]生命回復效率。天舞寶輪額外回復[00ff00]體質*vitality_recover_life1%[-]點生命，慈航普度額外回復[00ff00]體質*userdesc_1011%[-]點生命
365	江海凝波	提高[00ff00]userdesc_1012%[-]基礎攻擊
366	中級·江海凝波	提高[00ff00]userdesc_1012%[-]基礎攻擊，提高[00ff00]userdesc_1022%[-]造成遲緩的機率
