StateEffectId	StateName	EffectResID1	SlotID1	EffectResID2	SlotID2	HeadResID	Alpha	ChangeSize	ChangeSizeSpeed	RunActID	HeadWord	MagicDesc	Icon	IconAtlas	NotShowTime	HideBody	HideHead
114	鋼之鎧甲	114															
195	首領光環	9031															
197	精英光環	197															
198	篝火	198															
199	修煉珠											打怪經驗：[00ff00]%s[-]倍\n剩餘經驗：[00ff00]%s[-]	BUFF_xiulianzhu	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
213	金鐘罩	9076										全系抗性+[00ff00]all_series_resist_v1[-]點\n基礎全系抗性+[00ff00]all_series_resist_p1%[-]\n抗屬性效果幾率+[00ff00]resist_allseriesstate_rate_v1[-]\n生命回復+[00ff00]recover_life_v1[-]	TianwangSkill_03_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
217	秘笈：野蠻衝撞											攻擊速度+[00ff00]attackspeed_v1[-]\n基礎會心幾率+[00ff00]deadlystrike_p1%[-]\n會心一擊+[00ff00]deadlystrike_v1[-]	Tianwang_bd02_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
221	秘笈：霸王怒吼											化解傷害+[00ff00]defuse_damage1[-]點	Tianwang_bd04_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
219	破釜沉舟	2416										無敵與每[00ff00]recover_life_p2/15[-]秒回復[00ff00]recover_life_p1%[-]生命	Tianwang_bd03_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
225	一騎當千											基礎全系抗性+[00ff00]all_series_resist_p1%[-]	Tianwang_bd07_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
241	驚雷破天											基礎攻擊力+[00ff00]physics_potentialdamage_p1%[-]	Tianwang_bd08_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
246	氣蓋八荒											生命上限+[00ff00]lifemax_v1[-]點	Tianwang_bd09_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
247	氣蓋八荒											生命上限+[00ff00]lifemax_v1[-]點	Tianwang_bd09_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
254	秘笈：金鐘罩											全系抗性+[00ff00]all_series_resist_v1[-]點\n基礎全系抗性+[00ff00]all_series_resist_p1%[-]	TianwangSkill_03_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
270	金剛伏魔	3270						120	5			免疫異常狀態\n化解傷害+[00ff00]defuse_damage1[-]點	ShaolinSkill_04_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
273	羅漢陣	273															
279	立地成佛											基礎全系抗性+[00ff00]all_series_resist_p1%[-]	Shaolin_bd04_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
281	金剛怒目	3281										基礎全系抗性+[00ff00]all_series_resist_p1%[-]\n金剛怒目的基礎攻擊+[00ff00]add_usebasedmg_p12%[-]	Shaolin_bd05_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
295	秘笈：金剛伏魔											化解傷害+[00ff00]defuse_damage1[-]點\n生命回復+[00ff00]recover_life_v1[-]	Sl_mj03_buff	UI/Atlas/NewAtlas/RoleHead/RoleHead.prefab			
307	慈航普度	3306															
