SoundID	Desc	Bank	Sound
1	測試	Ui	Play_SMS_Receive
2	片頭動畫01	Movie	Play_CG01
3	片頭動畫02	Movie	Play_CG02
4	新手戰場動畫10秒	Movie	Play_CG03
5	片頭CG背景音樂音效	Movie	Play_CG00
6	惡人谷06	Movie	Play_CG04
8	點唱機	Album	Play_HuaDiWeiLao
10	劍俠情	Album	Play_JianXiaQing
11	畫地為牢	Album	Play_HuaDiWeiLao
12	三生三世	Album	Play_SanShengSanShi
13	劍俠情緣	Album	Play_JianXiaQing
14	笑問情緣	Album	Play_XiaoWenQingYuan
15	天仙子	Album	Play_TianXianZi
16	愛的廢墟女聲版	Album	Play_AiDeFeiXuVocal
17	與情緣書	Theme	Play_Theme_YuQingYuanShu
	老登入介面音樂	Bgm	Play_Bgm_Login
20	戰場音樂	Bgm	Play_Bgm_Zhanchang
21	戰場準備區大英雄-歌曲	Album	Play_DaYingXiong
30	隨機秘境-BOSS戰鬥音樂	Bgm	Play_Bgm_Battle_New
31	BOSS戰鬥音樂	Bgm	Play_Bgm_Battle_New
32	BOSS戰鬥音樂	Bgm	Play_Bgm_Battle_New
33	BOSS戰鬥音樂	Bgm	Play_Bgm_Battle_New
34	BOSS戰鬥音樂	Bgm	Play_Bgm_Battle_New
35	BOSS戰鬥音樂	Bgm	Play_Bgm_Battle_New
40	動畫峨嵋輕功	Movie	Play_Movie_Em_Qg
41	動畫桃花輕功	Movie	Play_Movie_Th_Qg
42	動畫天忍輕功	Movie	Play_Movie_Tr_Qg
43	動畫天王輕功	Movie	Play_Movie_Tw_Qg
44	動畫武當輕功	Movie	Play_Movie_Wd_Qg
45	動畫逍遙輕功	Movie	Play_Movie_Xy_Qg
46	2-6卓非凡出場	Movie	Play_CG05_chuchang
47	2-6卓非凡被殺	Movie	Play_CG06_jisha
48	3-7納蘭潛凜出場	Movie	Play_CG07_nalan
49	7-7張琳心掉崖	Movie	Play_CG08_tiaoya
50	6-3無相出場	Movie	Play_CG09_wuxiang
1001	主城婚禮BGM	Wedding	Play_Bgm_Wedding01
1002	主城花車巡遊	Wedding	Play_Bgm_Wedding02
1003	婚禮現場小場景	Wedding	Play_Bgm_Wedding03
1004	金屬鑼	Ui_Inst	Play_UI_Inst_Gong
1005	鼓	Ui_Inst	Play_UI_Inst_Gu
1006	罄	Ui_Inst	Play_UI_Inst_Qin
1007	編鐘	Ui_Inst	Play_UI_Inst_Zhong
1008	婚禮CG音樂-全程熱烈帶音效	Weedding_CG	Play_Wedding_CG02
1009	婚禮CG音樂-氣氛稍低帶音效	Weedding_CG	Play_Wedding_CG01
1010	婚禮房間音樂-三首順序迴圈播放	Wedding	Play_Wedding_Album
5200	天王登場	Tw	Play_Tw_Dc
5201	天王錘法一式	Tw	Play_Tw01_01
5202	天王錘法二式	Tw	Play_Tw01_01
5203	天王錘法三式	Tw	Play_Tw01_01
5204	天王錘法四式	Tw	Play_Tw01_04
5206	天王野蠻衝撞	Tw	Play_Tw02
5208	天王霸王怒吼	Tw	Play_Tw03
5210	天王血戰八方	Tw	Play_Tw05
5213	天王乾坤倒轉	Tw	Play_Tw04
5214	天王怒氣技日月山河碎	Tw	Play_Tw_00
5300	峨嵋登場	Em	Play_Em_Dc
5301	峨嵋劍法一式	Em	Play_Em_01_01
5302	峨嵋劍法二式	Em	Play_Em_01_03
5303	峨嵋劍法三式	Em	Play_Em_01_02
5304	峨嵋劍法四式	Em	Play_Em_01_04
5305	峨嵋劍法被擊	Em	Play_Em_01_Hit
5306	峨嵋慈航普渡	Em	Play_Em_02_01
5308	峨嵋白露凝霜	Em	Play_Em_03_01
5309	峨嵋白露被擊	Em	Play_Em_03_Hit
5310	峨嵋江海凝波	Em	Play_Em_04_01
5311	峨嵋四招被擊	Em	Play_Em_04_Hit
5312	峨嵋天舞寶輪	Em	Play_Em_05_01
5313	峨嵋五招被擊	Em	Play_Em_05_Hit
5346	峨嵋怒氣技冰魄紅蓮劫	Em	Play_Em_00
5400	桃花登場	Th	Play_Th_Dc
5401	桃花箭術一式	Th	Play_Th_01_01
5402	桃花箭術二式	Th	Play_Th_01_02
5403	桃花箭術三式	Th	Play_Th_01_01
5404	桃花箭術四式	Th	Play_Th_01_03
5405	桃花箭術被擊	Th	Play_Th_01_Hit
5406	桃花火鳳燎原	Th	Play_Th_02_01
5407	桃花飛火流星	Th	Play_Th_03_01
5408	桃花三招被擊	Th	Play_Th_03_Hit
5410	桃花九曜連珠	Th	Play_Th_04_01
5411	桃花四招被擊	Th	Play_Th_04_Hit
5412	桃花穿雲破月	Th	Play_Th_05_01
5413	桃花五招被擊	Th	Play_Th_05_Hit
5427	桃花怒氣技落花焚星焱	Th	Play_Th_00
5500	逍遙登場	Xy	Play_Xy_Dc
5501	逍遙槍法一式	Xy	Play_Xy_01_01
5502	逍遙槍法二式	Xy	Play_Xy_01_02
5503	逍遙槍法三式	Xy	Play_Xy_01_03
5504	逍遙槍法四式	Xy	Play_Xy_01_04
5505	逍遙一招被擊	Xy	Play_Xy_01_Hit
5506	逍遙二招拉人	Xy	Play_Xy_02_01
5507	逍遙二招拉人拉回來	Xy	Play_Xy_02_02
5508	逍遙無敵斬	Xy	Play_Xy_03_00
5509	逍遙無敵斬收招	Xy	Play_Xy_03_05
5510	逍遙白虹貫日	Xy	Play_Xy_04_01
5513	逍遙風捲殘雲	Xy	Play_Xy_05_01
5527	逍遙怒氣技寰宇逍遙遊	Xy	Play_Xy_00
5600	武當登場	Wd	Play_Wd_Dc
5601	武當普攻1	Wd	Play_Wd_01_01
5602	武当普攻2	Wd	Play_Wd_01_02
5603	武当普攻3	Wd	Play_Wd_01_03
5604	武当普攻4	Wd	Play_Wd_01_04
5605	武當普攻被擊	Wd	Play_Wd_01_Hit
5606	人劍合一	Wd	Play_Wd_02_01
5607	坐忘無我	Wd	Play_Wd_03_01
5608	劍飛驚天	Wd	Play_Wd_04_01
5609	天地無極	Wd	Play_Wd_05_01
5610	武當怒氣	Wd	Play_Wd_00
5711	天忍登場	Tr	Play_Tr_Dc
5700	天忍怒氣	Tr	Play_Tr_00
5701	天忍普攻1	Tr	Play_Tr_01_01
5702	天忍普攻2	Tr	Play_Tr_01_02
5703	天忍普攻3	Tr	Play_Tr_01_03
5704	天忍普攻4	Tr	Play_Tr_01_04
5705	天忍普攻被擊	Tr	Play_Tr_01_Hit
5706	死亡迴旋	Tr	Play_Tr_02_01
5707	魔焰在天發招	Tr	Play_Tr_03_01
5708	魔焰在天子彈	Tr	Play_Tr_03_02
5709	血月之影	Tr	Play_Tr_04_01
5710	攝魂亂心	Tr	Play_Tr_05_01
6201	天王錘法被擊	Tw	Play_Tw01_Hit
5800	少林怒氣技能	Sl	Play_Sl_00
5801	少林普攻第一段	Sl	Play_Sl_01_01
5802	少林普攻第二段	Sl	Play_Sl_01_02
5803	少林普攻第三段	Sl	Play_Sl_01_03
5804	少林普攻第四段	Sl	Play_Sl_01_04
5805	少林普攻被擊	Sl	Play_Sl_01_Hit
5806	少林降龍棍	Sl	Play_Sl_02_01
5807	少林大力金剛指	Sl	Play_Sl_03_01
5808	少林金剛伏魔	Sl	Play_Sl_04_01
5809	少林十二擒龍手	Sl	Play_Sl_05_01
5810	少林被動羅漢陣	Sl	Play_Sl_06_00
5900	翠煙怒氣技能	Cy	Play_Cy_00
5901	翠煙普攻第一段	Cy	Play_Cy_01_01
5902	翠煙普攻第二段	Cy	Play_Cy_01_02
5903	翠煙普攻第三段	Cy	Play_Cy_01_03
5904	翠煙普攻第四段	Cy	Play_Cy_01_04
5905	翠煙普攻被擊	Cy	Play_Cy_01_Hit
5906	翠煙天羅璿璣	Cy	Play_Cy_02_01
5907	翠煙雨打梨花	Cy	Play_Cy_03_01
