nShowId	nNpcId	nMapTemplateId	nX	nY	nDir	Trap	bIsTaskNpc	bIsFollow	szStartFunc	szStartParam	Desc	Map
1	413	999	2150	4200	43		1				納蘭真-任務	新手村
2	418	999	2150	4200	43						納蘭真-表現	新手村
3	414	999	1835	2670	24		1				殷方-任務	新手村
4	578	999	1835	2670	24						殷方-表現	新手村
5	1277	484	1860	3360	1						重傷的楊影楓-表現	忘憂小屋
6	1382	400	7860	8080	32						殷方-移動	鎖雲淵
7	416	999	6730	2110	44		1				納蘭潛凜-任務	新手村
8	954	999	6730	2110	44						納蘭潛凜-表現	新手村
9	413	999	3500	6100	53		1				納蘭真-任務	新手村
10	1080	999	3500	6100	53			1			納蘭真-跟隨	新手村
11	1340	999	3000	5900	20		1				殷童-任務	新手村
12	1341	999	3000	5900	20						殷童-表現	新手村
13	413	999	6250	7050	43		1				納蘭真-任務	新手村
14	418	999	6250	7050	43						納蘭真-表現	新手村
15	1382	400	7860	8080				1			殷方-跟隨	鎖雲淵
16	1381	400	4900	10000					MoveAndDelete	syy_wjc1	萬金財-移動	鎖雲淵
17	730	484	1610	3080	21		1				楊影楓-任務	鎖雲淵小屋
18	731	484	1610	3080	21						楊影楓-表現	鎖雲淵小屋
19	720	400	8060	8100	32		1				納蘭真-任務	鎖雲淵
20	724	400	8060	8100	32			1			納蘭真-跟隨	鎖雲淵
21	1106	403	5250	4300	22				Move	dth_zx1	紫軒-移動	洞庭湖
22	1107	403	4950	5100	46				Move	dth_yme1	月眉兒-移動	洞庭湖
23	1081	400	13570	4300	36			1			楊影楓-跟隨	鎖雲淵
24	578	400	7860	8080	34						小李子-表現	鎖雲淵
25	730	400	13570	4300	36		1				楊影楓-任務	鎖雲淵
26	731	400	13570	4300	36						楊影楓-表現	鎖雲淵
27	725	400	13890	5080	32				Move	syy_nlz1	納蘭真-移動	鎖雲淵
28	721	400	13720	4770	32						納蘭真-表現	鎖雲淵
29	730	400	8060	8100	32		1				楊影楓-任務	鎖雲淵
30	1343	400	8060	8100	32				MoveAndDelete	syy_yyf1	楊影楓-移動	鎖雲淵
31	1379	400	4900	10000			1				萬金財-任務	鎖雲淵
32	1380	400	4900	10000							萬金財-表現	鎖雲淵
33	1003	401	8050	10250	39		1				楊影楓-任務	武夷山
34	1004	401	8050	10250	39						楊影楓-表現	武夷山
35	1003	401	12400	11450	39		1				楊影楓-任務	武夷山
36	1004	401	12400	11450	39						楊影楓-表現	武夷山
37	1626	401	11820	11350	39		1				月眉兒-任務	武夷山
38	1628	401	11820	11350	14				MoveAndDelete	wys_yme1	月眉兒-移動	武夷山
39	1003	401	12400	3030	52		1				楊影楓-任務	武夷山
40	1004	401	12400	3030	52						楊影楓-表現	武夷山
41	1266	400	13000	7000	49						衣服-表現	鎖雲淵
42	1100	498	7000	3100	49		1				納蘭真-任務	悲魔山莊
43	1003	401	5300	4800	35		1				楊影楓-任務	武夷山
44	1004	401	5300	4800	35						楊影楓-表現	武夷山
45	1058	401	5300	4510	39						篝火-表現	武夷山
46	1081	401	5300	4800	36			1			楊影楓-跟隨	武夷山
47	1097	401	5470	4680	50						月眉兒-表現	武夷山
48	1083	401	5470	4680	50			1			月眉兒-跟隨	武夷山
49	1005	402	7160	5100	39		1				月眉兒-任務	雁蕩山
