nDialogId	szDialogIndex	nLookNpcTemplateId	nNpcTemplateId	szNpcSay	szPlayerSay	szStoryBefore	szStoryAfter	nSoundId	szAction
2	2	413			疼疼疼疼，全身都好疼，姑娘，這是哪裡？我好像做了一個好長好長的夢，夢裡面……我好像從很高很高的地方墜落下來了……哎呀，頭好疼……				
2	2		413	（輕拍胸口）你總算醒啦，擔心死我了，不過你受了重傷，暫時不能使用內力，可不是一時半會就能好的喔，唉，說來也奇怪，這幾日怎地這麼多人從山崖上墜落下來。					
2	2				什麼！你……你說我苦修多年的內力……都沒了！？				
2	2		413	你不要太過擔心，也許……也許很快就會好過來呢？聽聞山上有一種能夠醫治內傷的草藥！我也會采來盡力為你醫治的！					
2	2				（這姑娘心地真好）……尚未多謝救命之恩，還未請教姑娘芳名？對了！卓大哥呢！他怎麼樣了？				
2	2		413	（搖頭）我並沒有做什麼，你應該謝謝殷方，若非他喜歡亂跑，在樹下發現你，恐怕你早就殞命多時了。至於你所說的卓大哥，我卻沒有見到。					
2	2				（也不知卓大哥是否安然無恙，罷了，先去道謝吧）多謝納蘭姑娘告知，我這便去找殷小兄！				
3	3				先前的事納蘭姑娘都已經告訴我了，謝謝殷小兄仗義相救！				
3	3		414	嗨，我只是喜歡到處闖蕩，碰巧遇見了你躺在那兒，總不能見死不救吧！你要想謝我，等你傷好了去闖蕩江湖的時候，可得帶上我！我要學好武功，除盡天下大俠！一言為定！					
3	3				（這麼小的孩子，就胡言亂語什麼除盡天下大俠，就算我願意，你父母也不願意）好好好！一言為定！				
4	4	416			島主，晚輩特來感謝救命之恩。				
4	4		416	（擺手）不必多禮，發現者乃殷方，救治者乃小女，與我並無多大干係。嗯，看來你的外傷已基本痊癒了，只是內傷尚未復原，便在此間療養一番，待傷好再離開不遲。					
4	4				是，多謝前輩！晚輩想四處走走，就先行告辭了。				
4	4		416	去吧，附近野獸不多，唯一需注意的是後山的毒蜂，此蜂毒性猛烈，遇之則退，不可與之為敵，否則會引來更大批的毒蜂，切記。					
4	4				（去逛逛之前先去跟納蘭姑娘說一聲吧）謝前輩提醒！				
5	5				納蘭姑娘，如今我傷勢已經恢復得差不多了，想要四處看看，順便去當日的懸崖上看看有沒有線索。				
5	5		413	嗯嗯，你傷勢剛剛才復原，可要小心一些，莫要逞強，保重自己才最重要。					
5	5				姑娘放心，我會多加小心的。				
7	7		413	$N，你回來啦！走吧！我帶你去見一個人！					happy
7	7				見人？是誰？				
7	7		413	他和你一樣，是從山崖上墜落下來的！走吧走吧！跟我來就知道了！					
8	8				納蘭姑娘，這位是？				
8	8		413	楊大哥他……噢，他叫做楊影楓，和你一樣從山崖墜落至此，不過他為人暗算，受的傷更重些……影楓哥哥，你看！再過一陣你也一定會好起來的！					
8	8		415	不要安慰我了，我如今功力全失，成了一個廢人，不但舊仇難報，即使在九泉之下，也無顏見爹爹，更別說什麼天下第一了……還有何生趣……					sad
8	8		413	楊大哥，你不要胡思亂想啦，好好休息，我這就去為你熬藥啦！					
9	9		719	（納蘭真在離開的過程中對你使了個眼色，輕輕扯了一下你的衣袖）					
