nTaskItemId	szMsg	nTime	nMapTemplateId	nX	nY	szAtlas	szImg
9	上前詢問..	0	484	1830	3140		
23	尋找貨物..	0	400	3510	11400		
35	尋找楊影楓..	0	400	13800	4750		
37	前往茅屋..	0	400	13600	3100		
39	檢查破舊木門...	3	400	3700	8500		
40	尋找納蘭真..	0	400	5700	4500		
42	繼續納蘭真..	0	400	4270	8130		
45	探索山洞..	0	499	5400	2250		
46	探索山洞..	0	499	5700	2080		
47	探索山谷..	0	485	1300	3100		
49	探索屋子..	0	481	2910	3300		
50	閱讀絲絹..	1	481	2910	3300		
51	繼續探索	0	481	1830	3330		
54	找楊影楓	0	999	6100	7400		
55	找納蘭真..	0	999	2310	3480		
58	停下查看...	0	401	9000	12000		
64	尋找線索..	0	401	9260	8100		
66	追上楊影楓..	0	401	12020	3100		
68	探查四周..	0	401	8080	3900		
74	休息片刻..	0	401	7050	7140		
76	生起火堆..	3	401	5300	4400		
77	偷偷查看..	1	401	3900	5300		
81	查看周圍環境...	0	402	7400	10000		
85	尋找賣藥的..	0	402	7900	3440		
88	正在敲門..	3	402	6400	4900		
98	準備回去..	0	402	10400	7400		
99	尋找楊影楓..	0	402	11900	5700		
105	尋找蹤跡..	0	483	7400	6530		
109	質問紫軒..	0	402	5410	3600		
113	離開這兒..	0	403	5750	3800		
114	回去找紫軒..	0	403	5000	4400		
115	隱藏身形..	0	403	5000	4400		
117	動身前往..	0	403	7700	5300		
118	拆除捕獸夾..	3	403	8200	5180		
121	帶薔薇回家..	0	403	3200	8200		
122	帶薔薇找路..	0	403	6700	8450		
123	拜訪孟知秋..	0	403	9000	7900		
125	等楊兄回來..	5	403	6100	7900		
127	回悲魔山莊..	0	403	6300	9650		
129	尋找線索..	0	403	9210	10430		
130	前往飛龍堡..	0	494	2650	3500		
132	和盧肇顥理論..	0	494	6480	6960		
133	質問月眉兒..	0	494	6200	6900		
140	等薔薇出來..	3	403	10600	7760		
141	詢問納蘭真..	0	999	6420	6700		
142	等待納蘭真	0	999	2500	6250		
143	看看月眉兒..	0	999	3560	6660		
144	去禁地門口..	0	999	6600	4550		
148	準備回忘憂島..	0	403	13270	4000		
149	詢問紫軒..	0	403	13350	3950		
152	查看蹤跡...	1	495	3270	3660		
157	離開禁地...	0	495	6400	6500		
161	去摘星樓...	0	496	5150	9200		
163	摘星樓深處..	0	496	8900	8900		
166	送紫軒回去...	0	496	1700	3700		
172	回藏劍山莊..	0	403	9200	7950		
174	帶薔薇走走..	0	403	6050	7550		
175	回悲魔山莊	0	498	6500	3070		
177	等待納蘭真..	0	498	6820	3180		
178	去接兩女..	0	401	9400	7750		
179	回悲魔山莊	0	498	3310	3020		
184	事發之地..	0	404	2100	7000		
188	尋找道路..	0	404	13200	7400		
190	查看洞口..	0	404	14300	4000		
194	前去木匠家..	0	404	7000	8800		
197	查探一番..	0	404	3700	11050		
199	離開這裡..	0	404	8550	12000		
201	追回寶玉..	0	404	10850	9650		
213	前往南宮家..	0	405	13400	12450		
215	正在挖掘..	3	405	14900	11100		
220	去找賈老實..	0	405	6300	12700		
229	到一旁等候	3	480	6540	6540		
230	上前詢問..	0	480	6610	6560		
234	前往武夷派..	0	488	3300	8500		
238	鳳舞九天..	2	489	3000	7050		
244	到張府看看..	0	490	5473	4882		
247	尋找村民..	0	406	7250	6800		
251	幫張林找東西..	0	489	2420	1730		
253	翻找東西..	0	489	6620	3300		
254	查看劍痕..	0	489	6850	2910		
268	尋找樵夫..	0	406	7620	13600		
271	繼續前行..	0	493	5250	5870		
255	尋找柴枝..	3	493	6500	6650		
256	生起火堆..	3	493	5920	6520		
278	尋找果樹..	0	493	6200	3950		
261	正在烤肉..	3	493	5910	6380		
265	前往華山	0	493	3200	3280		
286	向樵夫道別..	0	493	3480	3790		
294	等待通報..	3	491	2600	4340		
295	詢問結果..	0	491	2450	3720		
297	驅趕猴子..	0	491	2780	7900		
298	驅趕猴子..	0	491	3440	7830		
299	打掃華山..	3	491	3190	8680		
303	找少林弟子..	0	406	10420	9450		
306	找果樹..	0	406	12000	8500		
322	押送回營	0	408	10820	11170		
323	押送回營	0	408	7900	7480		
328	查看周圍..	0	479	1200	850		
332	四周看看..	0	479	6070	2400		
333	保護嚴將軍..	0	479	5400	2150		
334	追上神秘人..	0	479	4900	4730		
354	尋找雪蓮姥姥	0	411	14000	11880		
356	正在採集..	2	411	12650	14000		
362		0	411	9540	11150		
364		0	411	10360	13740		
367		0	411	7100	14000		
369		0	411	10100	13930		
374		0	411	7500	8700		
375		0	411	9240	9000		
383		0	411	7200	3650		
385		0	411	5300	4560		
389		0	411	13900	8770		
390		0	411	10800	5600		
395		0	411	12550	7620		
397		0	411	14070	6950		
401		0	411	14000	3360		
402		0	411	13900	3400		
404		0	411	13100	3550		
410		0	411	14300	5200		
800		0	801	4950	900		
801		0	801	3750	1000		
802		0	800	3150	5200		
