Name	Path	IsPreLoad	Layer	Desc	BlackBg	AutoHideInFightMode	IsStay	OpenSound	CloseSound	OpenAni	CloseAni	BackBtnClose
Login	UI/Prefabs/Login/Login_v1.prefab		LAYER_NORMAL	登入								
LoginBg	UI/Prefabs/Login/Login_Bg.prefab		LAYER_NORMAL	登入背景	1							
SituationalDialogue	UI/Prefabs/SituationalDialogue.prefab		LAYER_NORMAL	劇情對話						SituationalDialogueOpen		
MessageBox	UI/Prefabs/Tips&notice/MessageBox.prefab		LAYER_POPUP	通用彈窗				8002	8003	NormalOpen		
Commander	UI/Prefabs/Debug/Commander.prefab		LAYER_DEBUG	GM介面								
HomeScreenTask	UI/Prefabs/HomeScreen/HomeScreenTask.prefab		LAYER_HOME	主介面-任務								
HomeScreenBattle	UI/Prefabs/HomeScreen/HomeScreenBattle.prefab		LAYER_HOME	主介面-技能			1					
HomeScreenExpBar	UI/Prefabs/HomeScreen/HomeScreenExpBar.prefab		LAYER_HOME	主介面-經驗								
Task	UI/Prefabs/Task/NewTask.prefab		LAYER_NORMAL	任務	1			8002	8003	NormalOpen	NormalClose	1
PkMode	UI/Prefabs/HomeScreen/Modewidget.prefab		LAYER_HOME	PK模式								
PkModeGuide	UI/Prefabs/HomeScreen/ModeWidgetGuide.prefab		LAYER_GUIDE	PK模式導引								
TeamRequestQueue	UI/Prefabs/Team/TeamRequestQueue.prefab		LAYER_NORMAL	隊伍申請列表						NormalOpen		
RoleHead	UI/Prefabs/Role/RoleHead.prefab		LAYER_HOME	角色頭像								
ChatLargePanel	UI/Prefabs/ChatNew/ChatLargePanel.prefab		LAYER_NORMAL	聊天詳細								
ChatRightPopup	UI/Prefabs/ChatNew/ChatRightPopup.prefab		LAYER_POPUP	聊天互動表情								
CopyTipPanel	UI/Prefabs/ChatNew/CopyTipPanel.prefab		LAYER_NORMAL	複製								
ChatSmall	UI/Prefabs/Chat/ChatSmall.prefab		LAYER_HOME	主介面-聊天								
FakeJoyStick	UI/Prefabs/FakeJoyStick.prefab		LAYER_HOME	假搖杆介面								
HomeScreenFuben	UI/Prefabs/Fuben/HomeScreenFuben.prefab		LAYER_HOME	戰鬥主介面-副本資訊								
PersonalFubenEntrance	UI/Prefabs/Fuben/FubenEntrance.prefab		LAYER_NORMAL	普通關卡主介面	1					NormalOpen	NormalClose	
PersonalFubenSucces	UI/Prefabs/Fuben/PersonalFubenSuccesPanel.prefab		LAYER_NORMAL	關卡-戰鬥勝利	1							
PersonalFubenFail	UI/Prefabs/Fuben/PersonalFubenFail.prefab		LAYER_NORMAL	關卡-戰鬥失敗	1					NormalOpen	NormalClose	
PersonalFubenDeath	UI/Prefabs/Fuben/DeathInformationPopup.prefab		LAYER_NORMAL	關卡-死亡彈窗	1					NormalOpen	NormalClose	
GetPosition	UI/Prefabs/GetPosition.prefab		LAYER_DEBUG									
GetNotice	UI/Prefabs/Tips&notice/GetNotice.prefab		LAYER_INFO									
ItemBox	UI/Prefabs/Role&BagPannle.prefab		LAYER_NORMAL	背包	1			8002	8003	NormalOpen	NormalClose	1
TaskNotice	UI/Prefabs/Tips&notice/TaskNotice.prefab		LAYER_INFO									
SystemNotice	UI/Prefabs/Tips&notice/SystemNotice.prefab		LAYER_INFO				1					
LoadingTips	UI/Prefabs/Tips&notice/LoadingTips.prefab		LAYER_LOADING				1					
TopButton	UI/Prefabs/HomeScreen/HomeScreenTopButton.prefab		LAYER_HOME	主介面-功能按鈕集			1					
NpcStrip	UI/Prefabs/NPCstrip.prefab		LAYER_INFO									
LogMsg	UI/Prefabs/Debug/LogMsg.prefab		LAYER_DEBUG									
SkillPanel	UI/Prefabs/Skill/SkillPanel.prefab		LAYER_NORMAL	技能主介面	1			8002	8003	NormalOpen	NormalClose	1
EquipTips	UI/Prefabs/Tips&notice/equipmengttipspanle.prefab		LAYER_POPUP	裝備資訊介面						NormalOpen		1
SkillCheatsPanel	UI/Prefabs/Skill/SkillCheatsPanel.prefab		LAYER_POPUP	秘笈資訊介面						NormalOpen		1
SkillCheatsComparePanel	UI/Prefabs/Skill/SkillCheatsPanel.prefab		LAYER_POPUP	秘笈資訊對比介面						NormalOpen		1
CheatsOperationPanel	UI/Prefabs/Skill/CheatsPanel.prefab		LAYER_NORMAL	秘笈操作介面	1					NormalOpen		1
CompareTips	UI/Prefabs/Tips&notice/equipmengttipspanle.prefab		LAYER_POPUP	同伴資訊介面						NormalOpen		1
HomeScreenMiniMap	UI/Prefabs/HomeScreen/HomeScreenMiniMap.prefab		LAYER_HOME	主介面-小地圖								
BattleTopButton	UI/Prefabs/HomeScreen/BattleTopButton.prefab		LAYER_HOME	戰鬥主介面-背包回城								
TeamFubenEntrance	UI/Prefabs/Fuben/FubenDetails.prefab		LAYER_NORMAL	組隊副本詳細資訊介面	1					NormalOpen	NormalClose	1
RandomFubenMission	UI/Prefabs/Fuben/MijingAccountPanle.prefab		LAYER_NORMAL		1					NormalOpen	NormalClose	
TeamFubenMission	UI/Prefabs/Fuben/MijingAccountPanle_Team.prefab		LAYER_NORMAL		1					NormalOpen	NormalClose	
CommonDeathPopup	UI/Prefabs/Tips&notice/CommonDeathPopup.prefab		LAYER_NORMAL							NormalOpen		
CommonShop	UI/Prefabs/Shop/CommonShop.prefab		LAYER_NORMAL		1					NormalOpen	NormalClose	1
MiniMap	UI/Prefabs/MiniMap/MiniMap.prefab		LAYER_NORMAL	中地圖	1					NormalOpen	NormalClose	1
BattleLabel	UI/Prefabs/Label.prefab		LAYER_HOME									
WorldMap	UI/Prefabs/MiniMap/WorldMap.prefab		LAYER_NORMAL	世界地圖	1					NormalOpen	NormalClose	1
RefinementPanel	UI/Prefabs/Strengthen/Refinement.prefab		LAYER_POPUP									1
SocialPanel	UI/Prefabs/SocialNew/SocialPanel.prefab		LAYER_NORMAL	社交介面	1			8002	8003	NormalOpen	NormalClose	1
Partner	UI/Prefabs/Companion/CompanionPanel.prefab		LAYER_NORMAL	貌似是同伴介面	1			8002	8003	NormalOpen	NormalClose	1
StrengthenPanel	UI/Prefabs/Strengthen/StrengthenPanel.prefab		LAYER_NORMAL	強化介面	1					NormalOpen	NormalClose	1
WantedTips	UI/Prefabs/SocialNew/PublishWantedPanel.prefab		LAYER_POPUP	通緝彈窗						NormalOpen		
ChatSetting	UI/Prefabs/Chat/ChatSetting.prefab		LAYER_NORMAL	聊天設定	1					NormalOpen		1
WantedAccountS	UI/Prefabs/SocialNew/RevengeSettlePanel.prefab		LAYER_NORMAL	通緝結算介面	1					NormalOpen	NormalClose	
ChatItemPopup	UI/Prefabs/Chat/ChatItemPopup.prefab		LAYER_POPUP									1
FubenSectionPanel	UI/Prefabs/Fuben/FubenSelectionPanel.prefab		LAYER_NORMAL	副本章卡牌列表	1	1				NormalOpen	NormalClose	1
RefineNotice	UI/Prefabs/Strengthen/RefineNotice.prefab		LAYER_POPUP									
CreateRole	UI/Prefabs/Login/CreateRolePanel.prefab		LAYER_HOME	創建角色								
MissionAward	UI/Prefabs/Fuben/MissionAwardPanel.prefab		LAYER_NORMAL	事後獎勵	1					NormalOpen	NormalClose	
Setting	UI/Prefabs/Setting/Setting.prefab		LAYER_NORMAL	設置介面	1					NormalOpen	NormalClose	1
RankPanel	UI/Prefabs/Rank/RankPanel.prefab		LAYER_NORMAL	武神殿	1			8002	8003	NormalOpen	NormalClose	1
FamilyDonation	UI/Prefabs/Family/FamilyDonationPanel.prefab		LAYER_NORMAL		1					NormalOpen	NormalClose	1
CardPickingResult	UI/Prefabs/Companion/CardPickingResult.prefab		LAYER_NORMAL	抽卡結果	1					NormalOpen	NormalClose	
ChatEmotionLink	UI/Prefabs/ChatNew/ChatEmotionLinkPanel.prefab		LAYER_NORMAL									1
NpcDialog	UI/Prefabs/Npc/NpcDialogue.prefab		LAYER_NORMAL	預設對話						NormalOpen		
EquipStarAttribTips	UI/Prefabs/Tips&notice/EquipStarAttribTipsNew.prefab		LAYER_POPUP									1
DebrisPanel	UI/Prefabs/Duobao/DuobaoPanel.prefab		LAYER_NORMAL	碎片搶奪	1			8002	8003	NormalOpen	NormalClose	
DebrisRobList	UI/Prefabs/Duobao/FragSnatchTarget.prefab		LAYER_NORMAL	碎片搶奪列表	1					NormalOpen	NormalClose	
DebrisFlipCard	UI/Prefabs/Duobao/FragSnatchFailure.prefab		LAYER_NORMAL	碎片搶奪失敗翻牌	1					NormalOpen	NormalClose	
DebrisResult	UI/Prefabs/Duobao/ComposeSuccessAni.prefab		LAYER_NORMAL	碎片搶奪合成結果	1					NormalOpen	NormalClose	
DebrisAvoidRob	UI/Prefabs/Duobao/SaleforMSJP.prefab		LAYER_NORMAL	碎片搶奪購買免戰						NormalOpen		
DebrisMoreRobResult	UI/Prefabs/Duobao/FragmentSnathAccount.prefab		LAYER_NORMAL	碎片搶奪連續搶奪結果						NormalOpen		
BossPanel	UI/Prefabs/Boss/Boss.prefab		LAYER_NORMAL	挑戰武林盟主主介面	1	1				NormalOpen	NormalClose	1
BossRobList	UI/Prefabs/Boss/BossRobList.prefab		LAYER_NORMAL	挑戰武林盟主搶奪清單介面						NormalOpen		1
BossRobResult	UI/Prefabs/Boss/BossRobResult.prefab		LAYER_NORMAL	挑戰武林盟主搶奪結算介面	1					NormalOpen	NormalClose	
ShowAward	UI/Prefabs/Tips&notice/ShowAward.prefab		LAYER_NORMAL	通用獲得獎勵介面	1					NormalOpen	NormalClose	
QuickUseItem	UI/Prefabs/TreasureMap.prefab		LAYER_NORMAL	看起來像是快速使用道具						NormalOpen		
MyAuctionPanel	UI/Prefabs/Family/MyAuctionPanel.prefab		LAYER_NORMAL		1					NormalOpen	NormalClose	1
HomeScreenBattleInfo	UI/Prefabs/BattleField/HomeScreenBattleInfo.prefab		LAYER_HOME	戰場資訊								
BattleReport	UI/Prefabs/BattleField/BattleReport.prefab		LAYER_NORMAL	戰場戰報	1					NormalOpen	NormalClose	1
CommerceTaskPanel	UI/Prefabs/Task/CommerceTaskPanel.prefab		LAYER_NORMAL	商會任務	1			8002	8003	NormalOpen	NormalClose	1
VoiceRecord	UI/Prefabs/Chat/VoicePanle.prefab		LAYER_INFO	錄音提示介面								
CommerceHelpPanel	UI/Prefabs/Task/CommerceHelpPanel.prefab		LAYER_POPUP									
