nDayIdx	szType	nGoldId	nCount
1	Gold		25000
1	Gold		25000
1	Gold		25000
1	Gold		25000
2	Gold		25000
2	Gold		25000
2	Gold		25000
2	Gold		25000
3	Gold		25000
3	Gold		25000
3	Gold		25000
3	Gold		25000
4	Gold		25000
4	Gold		25000
4	Gold		25000
4	Gold		25000
5	Gold		25000
5	Gold		25000
5	Gold		25000
5	Gold		25000
6	Gold		25000
6	Gold		25000
6	Gold		25000
6	Gold		25000
7	Gold		25000
7	Gold		25000
7	Gold		25000
7	Gold		25000
8	Gold		25000
8	Gold		25000
8	Gold		25000
8	Gold		25000
9	Gold		25000
9	Gold		25000
9	Gold		25000
9	Gold		25000
10	Gold		25000
10	Gold		25000
10	Gold		25000
10	Gold		25000
11	Gold		25000
11	Gold		25000
11	Gold		25000
11	Gold		25000
12	Gold		25000
12	Gold		25000
12	Gold		25000
12	Gold		25000
13	Gold		25000
13	Gold	    25000
13	Gold		25000
13	Gold		25000
14	Gold		25000
14	Gold		25000
14	Gold		25000
14	Gold		25000
