ServerId	Normal	Battle	Baihu	TeamBattle	Indiffer	DaXueZhang	BiWuZhaoQin	WLDH
10001	1	2	2	2	2	2	2	2
10002	1	2	2	2	2	2	2	2
10003	1	2	2	2	2	2	2	2
10004	1	3	3	3	3	3	3	2
10005	1	3	3	3	3	3	3	3
10006	1	3	3	3	3	3	3	3
10007	1	4	4	4	4	4	4	3
10008	1	4	4	4	4	4	4	3
10009	1	4	4	4	4	4	4	3
10010	1	4	4	4	4	4	4	4
10011	1	5	5	5	5	5	5	4
10012	1	5	5	5	5	5	5	4
10013	1	5	5	5	5	5	5	4
10014	1	5	5	5	5	5	5	4
10015	1	6	6	6	6	6	6	4
10016	1	6	6	6	6	6	6	5
10017	1	6	6	6	6	6	6	5
10018	1	6	6	6	6	6	6	5
10019	1	6	6	6	6	6	6	5
10020	1	7	7	7	7	7	7	5
10021	1	7	7	7	7	7	7	5
10022	1	7	7	7	7	7	7	5
10023	1	7	7	7	7	7	7	5
10024	1	1	1	1	1	1	1	5
10025	1	1	1	1	1	1	1	6
10026	1	1	1	1	1	1	1	6
10027	1	1	1	1	1	1	1	6
10028	1	1	1	1	1	1	1	7
10029	1	1	1	1	1	1	1	7
10030	1	1	1	1	1	1	1	7
